"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOWRYHINLOCDEFNFF00219906";1;1;2006;1;41;"N";0;257;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;350;"1";"1";"2";NA;"2";NA;50;"1";"1";"1";NA;"1";NA;276
"TQRMNOQWXHINLOCDEFNFF00219901";1;1;2006;1;41;"N";0;257;2;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1020;"5";"5";"7";NA;"6";NA;255;"3";"4";"6";NA;"4";NA;308
"TQRMNORQXHINLOCDEFNFF00219902";1;1;2006;1;41;"N";0;257;4;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOVXYHINLOCDEFNFF00219905";1;1;2006;1;41;"N";0;257;4;3;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;3;5;1105;"5";"6";"7";NA;"6";NA;138.13;"2";"2";"3";NA;"2";NA;248
"TQRMNORWVHINLOCDEFNFF00219903";1;1;2006;1;41;"N";0;257;3;3;6;3;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;6;0;6;1020;"5";"5";"7";NA;"6";NA;170;"2";"2";"4";NA;"3";NA;314
"TQRMNOTYWHINLOCDEFNFF00219904";1;1;2006;1;41;"N";0;257;3;1;1;2;1;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;370;"1";"2";"2";NA;"2";NA;370;"5";"5";"7";NA;"6";NA;259
"TQRMNOQPYHIOKMCDEFNFF00154548";1;1;2006;1;41;"N";0;112;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;2;4;550;"2";"3";"4";NA;"3";NA;91.67;"1";"1";"2";NA;"1";NA;155
"TQRMNOPQQHIOKMCDEFNFF00154545";1;1;2006;1;41;"N";0;112;4;2;6;2;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;6;2;4;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNORSPHIOKMCDEFNFF00154551";1;1;2006;1;41;"N";0;112;4;2;2;2;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;490;"2";"2";"3";NA;"2";NA;122.5;"2";"2";"3";NA;"2";NA;139
"TQRMNORRSHIOKMCDEFNFF00154550";1;1;2006;1;41;"N";0;112;3;2;2;2;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;4;1;3;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
