"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCF_R";"DECIF_R";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNOWTUHIMKPCDEFJAH00001574";1;2004;1;43;"N";0;386;661;"10";"10";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;3040;1013.33
"TQRMNOXWQHIMKPCDEFJAH00001575";1;2004;1;43;"N";0;386;420;"9";"9";1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;2;1;1915;638.33
"TQRMNOVTTHIMKPCDEFJAH00001573";1;2004;1;43;"N";0;386;454;"5";"6";1;5;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;2;1;790;263.33
"TQRMNOTTXHIMKPCDEFJAH00001572";1;2004;1;43;"N";0;386;764;"7";"9";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;5;0;5;2000;400
"TQRMNORYXHIMKPCDEFJAH00001571";1;2004;1;43;"N";0;386;628;"4";"2";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;350;175
"TQRMNOPXSHIMKPCDEFJAH00001570";1;2004;1;43;"N";0;386;598;"3";"5";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;645;161.25
"TQRMNORQPHILKUCDEFJAH00020866";1;2004;1;43;"N";0;215;288;"9";"9";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;2000;666.67
"TQRMNOSPVHILKUCDEFJAH00020868";1;2004;1;43;"N";0;215;240;"9";"9";1;4;2;3;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2;2;2;0;2;1730;865
"TQRMNOQPQHILKUCDEFJAH00020865";1;2004;1;43;"N";0;215;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNORUSHILKUCDEFJAH00020867";1;2004;1;43;"N";0;215;349;"10";"9";1;4;2;1;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2200;2200
"TQRMNORYQHINLMCDEFJAH00001749";1;2004;1;43;"N";0;197;386;"10";"9";1;5;2;1;4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;0;2;2039;1019.5
"TQRMNOQXTHINLMCDEFJAH00001748";1;2004;1;43;"N";0;197;269;"3";"1";1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;160;160
"TQRMNOQXTHINLMCDEFJAH00001748";2;2004;1;43;"N";0;197;223;"3";"2";1;1;1;4;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;0;2;300;150
"TQRMNOPVWHINLMCDEFJAH00001747";1;2004;1;43;"N";0;197;195;"3";"3";1;1;1;6;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;500;125
"TQRMNOPWSHIOKSCDEFJAH00021031";1;2004;1;43;"N";0;905;1170;"3";"3";1;3;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;400;133.33
