"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCFR";"DECIFR";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNOPPWHMOKSCDEIJAH00145827";1;2004;3;1;"S";33;1429;1375;"5";"6";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1050;262.5
"TQRMNOQQSHMOKSCDEIJAH00014828";1;2004;3;1;"S";33;1429;1517;"2";"2";1;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;400;100
"TQRMNOQVTHMOKSCDEIJAH00145828";2;2004;3;1;"S";33;1429;1291;"7";"2";1;2;1;3;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;390;390
"TQRMNORWVHMOKSCDEIJAH00014829";1;2004;3;1;"S";33;1429;2109;"6";"8";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1500;375
"TQRMNOSSUHMOKSCDEIJAH00014830";1;2004;3;1;"S";33;1429;1839;"4";"6";1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1050;210
"TQRMNOPVXHMOLPCDEIJAH00153280";1;2004;3;1;"S";33;1261;1596;"2";"2";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;375;93.75
"TQRMNOQQXHMOLPCDEIJAH00153281";1;2004;3;1;"S";33;1261;1642;"9";"8";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1500;750
"TQRMNORSRHMOLPCDEIJAH00153283";1;2004;3;1;"S";33;1261;1544;"8";"9";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;2;2;2300;575
"TQRMNOPQXHMMTMCDEIJAH00014475";1;2004;3;1;"S";33;1125;1530;"9";"8";1;6;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1350;675
"TQRMNOPVQHMMTMCDEIJAH00145514";1;2004;3;1;"S";33;1125;1469;"4";"3";1;3;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;420;210
"TQRMNOQXYHMMTMCDEIJAH00014478";1;2004;3;1;"S";33;1125;1791;"9";"10";1;5;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;3600;900
"TQRMNORRYHMMTMCDEIJAH00153075";1;2004;3;1;"S";33;1125;1664;"9";"8";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1650;825
"TQRMNORWQHMMTMCDEIJAH00145515";1;2004;3;1;"S";33;1125;2235;"10";"10";1;6;5;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;7;1;6;12602;1800.29
"TQRMNOSUYHMMTMCDEIJAH00014479";1;2004;3;1;"S";33;1125;1639;"5";"4";1;4;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;590;295
"TQRMNOQYXHMMLTCDEIJAH00152935";1;2004;3;1;"S";33;1124;0;"12";"12";1;4;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNORTYHLOOMCDEIIAD00013555";1;2004;3;1;"S";32;1179;1532;"7";"3";1;6;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;403;403
"TQRMNOQVVHLOOMCDEIIAD00144824";1;2004;3;1;"S";32;1179;0;"12";"12";1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOQSUHLOOMCDEIIAD00013553";1;2004;3;1;"S";32;1179;1794;"10";"9";1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2200;1100
"TQRMNOPTSHMMORCDEIJAH00152985";1;2004;3;1;"S";33;1084;1456;"10";"10";1;5;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3100;1550
"TQRMNOQRQHMMORCDEIJAH00152988";1;2004;3;1;"S";33;1084;1502;"6";"5";1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;750;375
"TQRMNOSXVHMNSNCDEIJAH00153233";1;2004;3;1;"S";33;1203;2275;"7";"10";1;3;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;6;0;6;2585;430.83
"TQRMNOSRTHMLMOCDEIJAH00014167";1;2004;3;1;"S";33;1390;2103;"7";"8";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1780;445
"TQRMNOPUWHMLMOCDEIJAH00014164";1;2004;3;1;"S";33;1390;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;0;0
"TQRMNOQPTHMLMOCDEIJAH00014165";1;2004;3;1;"S";33;1390;1958;"9";"8";1;4;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1500;750
"TQRMNOSVRHMLMOCDEIJAH00014168";1;2004;3;1;"S";33;1390;2156;"7";"7";1;4;3;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1200;400
"TQRMNOPPYHMLMOCDEIJAH00145247";1;2004;3;1;"S";33;1390;2958;"9";"10";1;6;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;4;0;4;3950;987.5
"TQRMNOPPRHLOLNCDEIIAD00152783";1;2004;3;1;"S";32;1314;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;7;3;4;0;0
"TQRMNOPYQHLOLNCDEIIAD00152784";1;2004;3;1;"S";32;1314;1604;"3";"6";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;6;0;6;1000;166.67
"TQRMNOPTYHMMLTCDEIJAH00152933";1;2004;3;1;"S";33;1124;0;"12";"12";1;6;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;0
"TQRMNOPYRHLOOMCDEIIAD00013552";1;2004;3;1;"S";32;1179;1701;"10";"10";1;4;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;3500;1750
"TQRMNOPUSHMMRSCDEIJAH00145481";1;2004;3;1;"S";33;1097;1264;"9";"5";1;3;1;6;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;800;800
"TQRMNOQWYHLLLPCDEIIAD00144463";1;2004;3;1;"S";32;1263;0;"12";"12";1;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNOTUXHLLLPCDEIIAD00144465";1;2004;3;1;"S";32;1263;0;"12";"12";1;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;0
"TQRMNOSTQHLMLSCDEIIAD00144593";1;2004;3;1;"S";32;1180;1460;"00";"00";1;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOQXYHMMRSCDEIJAH00145483";1;2004;3;1;"S";33;1097;1492;"10";"7";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1200;1200
"TQRMNOPXWHLLLPCDEIIAD00144462";1;2004;3;1;"S";32;1263;0;"12";"12";1;2;1;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNOSSUHMNRSCDEIJAH00145743";1;2004;3;1;"S";33;1192;1438;"5";"2";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300;300
"TQRMNOWSXHLLLPCDEIIAD00144468";1;2004;3;1;"S";32;1263;1765;"8";"7";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1200;600
"TQRMNOPPRHMMRSCDEIJAH00145480";1;2004;3;1;"S";33;1097;1354;"8";"4";1;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;590;590
"TQRMNOVTUHLLLPCDEIIAD00144467";1;2004;3;1;"S";32;1263;1274;"6";"4";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;650;325
"TQRMNORSXHMMRSCDEIJAH00145484";1;2004;3;1;"S";33;1097;1622;"9";"8";1;3;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1650;825
"TQRMNOQTPHMMRSCDEIJAH00145482";1;2004;3;1;"S";33;1097;1958;"9";"9";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2475;825
"TQRMNOWQWHLMLSCDEIIAD00144596";1;2004;3;1;"S";32;1180;1802;"9";"9";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;2030;676.67
"TQRMNOSXTHMNRSCDEIJAH00145744";1;2004;3;1;"S";33;1192;1694;"7";"5";1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;0;2;800;400
"TQRMNOPYRHMNRSCDEIJAH00145739";1;2004;3;1;"S";33;1192;1535;"6";"6";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1000;333.33
"TQRMNOPUSHLMLSCDEIIAD00144591";1;2004;3;1;"S";32;1180;0;"12";"12";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOSYYHMMRSCDEIJAH00145486";1;2004;3;1;"S";33;1097;1451;"3";"2";1;4;2;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;0;2;360;180
"TQRMNOUQWHLMLSCDEIIAD00144595";1;2004;3;1;"S";32;1180;1741;"10";"10";1;5;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;5150;2575
"TQRMNOTTQHLMLSCDEIIAD00144594";1;2004;3;1;"S";32;1180;1862;"8";"8";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1600;533.33
"TQRMNOUUSHLLLPCDEIIAD00144466";1;2004;3;1;"S";32;1263;2067;"9";"9";1;2;2;5;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2250;750
"TQRMNOQSYHMNRSCDEIJAH00145740";1;2004;3;1;"S";33;1192;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;4;0;4;0;0
"TQRMNORXVHMMPOCDEIJAH00145426";1;2004;3;1;"S";33;1284;0;"12";"12";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;0
"TQRMNOQWUHMMPOCDEIJAH00145424";1;2004;3;1;"S";33;1284;1401;"6";"6";1;2;2;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;930;310
"TQRMNOSTRHMMPOCDEIJAH00145427";1;2004;3;1;"S";33;1284;0;"12";"12";1;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOQSSHMKKRCDEIJAH00152845";1;2004;3;1;"S";33;1661;2476;"10";"9";1;4;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2250;1125
"TQRMNOQXXHMKKRCDEIJAH00152846";1;2004;3;1;"S";33;1661;2512;"8";"8";1;3;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;1560;520
"TQRMNOSUUHMKKRCDEIJAH00152847";1;2004;3;1;"S";33;1661;2774;"9";"9";1;4;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;2000;1000
"TQRMNOTQVHMKKRCDEIJAH00152848";1;2004;3;1;"S";33;1661;2593;"9";"4";1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;700;700
"TQRMNOPUSHLNKSCDEIIAD00144646";1;2004;3;1;"S";32;1052;1652;"7";"8";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1790;447.5
"TQRMNOPYUHLNKSCDEIIAD00144647";1;2004;3;1;"S";32;1052;1440;"8";"9";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;2;2;2260;565
"TQRMNOQXWHLNKSCDEIIAD00144649";1;2004;3;1;"S";32;1052;1661;"3";"2";1;3;1;1;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;360;180
"TQRMNORSTHLNKSCDEIIAD00152705";1;2004;3;1;"S";32;1052;1044;"8";"8";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1800;600
"TQRMNORXPHLNKSCDEIIAD00144650";1;2004;3;1;"S";32;1052;0;"12";"12";1;5;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;0
"TQRMNOSRVHLNKSCDEIIAD00152706";1;2004;3;1;"S";32;1052;1769;"8";"7";1;6;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1100;550
"TQRMNOSRVHLNKSCDEIIAD00152706";2;2004;3;1;"S";32;1052;1027;"7";"3";1;0;0;0;0;0;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;450;450
"TQRMNOSYVHMOKQCDEIJAH00145823";1;2004;3;1;"S";33;1209;1394;"1";"1";1;1;1;6;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;130;32.5
"TQRMNORSVHMOKQCDEIJAH00145821";1;2004;3;1;"S";33;1209;0;"12";"12";1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNOPRUHMOKQCDEIJAH00145817";1;2004;3;1;"S";33;1209;1407;"2";"1";1;2;1;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;120;120
"TQRMNORXSHMNRSCDEIJAH00145742";1;2004;3;1;"S";33;1192;0;"12";"12";1;3;3;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;0;0
"TQRMNOPTTHMNRSCDEIJAH00145738";1;2004;3;1;"S";33;1192;1368;"6";"7";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1300;325
"TQRMNOQXXHMNRSCDEIJAH00145741";1;2004;3;1;"S";33;1192;0;"12";"12";1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;6;1;5;0;0
"TQRMNORUQHLMLSCDEIIAD00144592";1;2004;3;1;"S";32;1180;1567;"6";"6";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1000;333.33
"TQRMNOSTSHMMRSCDEIJAH00145485";1;2004;3;1;"S";33;1097;2050;"8";"10";1;7;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;3340;668
"TQRMNOQRSHMMPOCDEIJAH00145423";1;2004;3;1;"S";33;1284;2062;"4";"4";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;620;206.67
"TQRMNOPWPHMORQCDEIJAH00015001";1;2004;3;1;"S";33;1673;2040;"2";"2";1;1;1;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;360;90
"TQRMNORXRHMORQCDEIJAH00146051";1;2004;3;1;"S";33;1673;1915;"1";"1";1;1;1;4;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;200;66.67
"TQRMNORXRHMORQCDEIJAH00146051";2;2004;3;1;"S";33;1673;1847;"2";"3";1;2;2;4;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;3;2;420;84
"TQRMNOSSPHMORQCDEIJAH00015004";1;2004;3;1;"S";33;1673;1736;"1";"3";1;2;2;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;8;3;5;420;52.5
"TQRMNOPXQHMOKQCDEIJAH00145818";1;2004;3;1;"S";33;1209;1879;"3";"6";1;3;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;970;161.67
"TQRMNOQSPHMOKQCDEIJAH00145819";1;2004;3;1;"S";33;1209;1681;"3";"6";1;3;2;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;1;2;2;2;2;7;1;6;950;135.71
"TQRMNORYQHMOKQCDEIJAH00153263";1;2004;3;1;"S";33;1209;1730;"8";"7";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1140;570
"TQRMNOSTSHMOKQCDEIJAH00145822";1;2004;3;1;"S";33;1209;1796;"5";"7";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1260;252
"TQRMNOPPWHLOOMCDEIIAD00013551";2;2004;3;1;"S";32;1179;1617;"3";"2";1;2;1;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;300;150
"TQRMNOTSYHMOLPCDEIJAH00153286";1;2004;3;1;"S";33;1261;1584;"00";"00";1;3;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNORXWHMLMUCDEIJAH00145266";1;2004;3;1;"S";33;1310;0;"12";"12";1;5;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;0
"TQRMNOSTQHMLMUCDEIJAH00152898";1;2004;3;1;"S";33;1310;1774;"7";"5";1;2;1;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;800;400
"TQRMNOPSWHMLMUCDEIJAH00145261";2;2004;3;1;"S";33;1310;2142;"4";"4";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;640;213.33
"TQSMNOPSWHMLMUCDEIJAH00145262";1;2004;3;1;"S";33;1310;2087;"4";"4";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;0;3;660;220
"TQRMNOPWUHMNPMCDEIJAH00014656";1;2004;3;1;"S";33;1137;1231;"1";"1";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;250;83.33
"TQRMNORPXHMNPOCDEIJAH00145677";1;2004;3;1;"S";33;1085;1345;"7";"6";1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;930;465
"TQSMNOPTTHMNPOCDEIJAH00153173";1;2004;3;1;"S";33;1085;1253;"2";"1";1;3;1;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;260;130
"TQRMNOPYVHMMORCDEIJAH00152987";1;2004;3;1;"S";33;1084;0;"12";"12";1;5;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;0
"TQRMNOQYVHMMORCDEIJAH00152990";1;2004;3;1;"S";33;1084;1368;"6";"2";1;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;360;360
"TQRMNOQTWHMMORCDEIJAH00152989";1;2004;3;1;"S";33;1084;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;0;0
"TQRMNOPWSHMMORCDEIJAH00152986";1;2004;3;1;"S";33;1084;1591;"9";"8";1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;0;2;1750;875
"TQRMNOPQQHMMORCDEIJAH00152984";1;2004;3;1;"S";33;1084;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;3;0;3;0;0
"TQRMNOSYPHLMKRCDEIIAD00152661";1;2004;3;1;"S";32;1137;1764;"10";"10";1;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;4950;2475
"TQRMNOSRWHLMKRCDEIIAD00152660";1;2004;3;1;"S";32;1137;0;"12";"12";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNORWSHLMKRCDEIIAD00152659";1;2004;3;1;"S";32;1137;1552;"8";"7";1;2;1;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1055;527.5
"TQRMNOQTYHLMKRCDEIIAD00152658";1;2004;3;1;"S";32;1137;0;"12";"12";1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;0
"TQRMNOQQRHLMKRCDEIIAD00152657";1;2004;3;1;"S";32;1137;1581;"9";"8";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;0;2;1790;895
"TQRMNOPUVHLMKRCDEIIAD00152656";1;2004;3;1;"S";32;1137;1310;"10";"10";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2600;2600
"TQRMNOSQPHLMKSCDEIIAD00013241";2;2004;3;1;"S";32;1170;1346;"9";"6";1;2;1;3;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;1000;1000
"TQRMNOUQXHLMKSCDEIIAD00013243";1;2004;3;1;"S";32;1170;0;"12";"12";1;3;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOQRUHMMLQCDEIJAH00014241";1;2004;3;1;"S";33;1215;1906;"9";"10";1;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;3000;1000
"TQRMNOPSTHMNPMCDEIJAH00014655";1;2004;3;1;"S";33;1137;1570;"3";"3";1;2;2;4;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;500;166.67
"TQRMNOPXXHLMKSCDEIIAD00013239";2;2004;3;1;"S";32;1170;0;"12";"12";1;2;2;3;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;1;0;0
"TQRMNORWWHMLMOCDEIJAH00145248";1;2004;3;1;"S";33;1390;1577;"2";"1";1;2;1;3;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;200;100
"TQRMNOPVXHMNSNCDEIJAH00153229";1;2004;3;1;"S";33;1203;1173;"3";"5";1;3;2;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;3;3;800;133.33
"TQRMNOQVWHMMLQCDEIJAH00014242";1;2004;3;1;"S";33;1215;1973;"9";"8";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1540;770
"TQRMNORPYHMMLQCDEIJAH00014243";1;2004;3;1;"S";33;1215;1850;"6";"7";1;4;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1150;383.33
"TQRMNORTVHMMLQCDEIJAH00145309";1;2004;3;1;"S";33;1215;1478;"5";"3";1;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;500;250
"TQRMNORXVHMMLQCDEIJAH00014244";1;2004;3;1;"S";33;1215;1762;"3";"2";1;4;2;8;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;300;150
"TQRMNOYVSHLLNRCDEIIAD00013192";1;2004;3;1;"S";32;1295;1945;"10";"9";1;2;1;5;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2270;1135
"TQRMNOXQTHLLNRCDEIIAD00013191";1;2004;3;1;"S";32;1295;1900;"10";"7";1;3;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1070;1070
"TQRMNOSXPHLLNRCDEIIAD00013190";1;2004;3;1;"S";32;1295;2109;"9";"9";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2000;1000
