"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOPQSHLMKRCDEFMDB00177973";1;1;2005;2;43;"N";0;174;4;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;2000;"9";"9";"9";NA;"9";NA;500;"7";"8";"8";NA;"8";NA;229
"TQRMNOPVQHLMKRCDEFMDB00177974";1;1;2005;2;43;"N";0;174;2;1;3;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;3;1;2;450;"2";"3";"3";NA;"3";NA;150;"2";"3";"2";NA;"3";NA;210
"TQRMNOQQQHLMKRCDEFMDB00177975";1;1;2005;2;43;"N";0;174;4;2;8;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1105;"7";"7";"7";NA;"7";NA;1105;"10";"10";"10";NA;"10";NA;168
"TQRMNORSWHLMKRCDEFMDB00177976";1;1;2005;2;43;"N";0;174;3;2;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;500;"3";"3";"3";NA;"3";NA;250;"4";"5";"4";NA;"5";NA;185
"TQRMNORXSHLMKRCDEFMDB00177977";1;1;2005;2;43;"N";0;174;5;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;2350;"9";"10";"9";NA;"10";NA;470;"7";"8";"7";NA;"8";NA;206
"TQRMNOSSWHLMKRCDEFMDB00177978";1;1;2005;2;43;"N";0;174;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;740;"5";"5";"5";NA;"5";NA;370;"6";"7";"6";NA;"7";NA;192
"TQRMNOSTVHLMKRCDEFMDB00177979";1;1;2005;2;43;"N";0;174;2;2;3;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;4;0;4;1050;"6";"7";"7";NA;"7";NA;262.5;"5";"5";"4";NA;"6";NA;188
"TQRMNOPPUHLPKQCDEFMDB00178037";1;1;2005;2;43;"N";0;207;3;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;800;"5";"5";"5";NA;"5";NA;266.67;"5";"5";"4";NA;"6";NA;275
"TQRMNOPTUHLPKQCDEFMDB00178038";1;1;2005;2;43;"N";0;207;3;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;600;"3";"4";"4";NA;"4";NA;120;"2";"2";"2";NA;"3";NA;261
"TQRMNOQPTHLPKQCDEFMDB00178039";1;1;2005;2;43;"N";0;207;3;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOQTTHLPKQCDEFMDB00178040";1;1;2005;2;43;"N";0;207;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOQYVHLPKQCDEFMDB00178041";1;1;2005;2;43;"N";0;207;4;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNORSYHLPKQCDEFMDB00178042";1;1;2005;2;43;"N";0;207;3;2;1;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1050;"6";"7";"7";NA;"7";NA;525;"8";"8";"8";NA;"8";NA;260
"TQRMNORWYHLPKQCDEFMDB00178043";1;1;2005;2;43;"N";0;207;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;498;"3";"3";"3";NA;"3";NA;249;"4";"5";"4";NA;"5";NA;290
"TQRMNOPRVHJNLPCDEFMDB00147155";1;1;2005;2;43;"N";0;196;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1800;"8";"9";"9";NA;"9";NA;450;"7";"8";"7";NA;"8";NA;262
"TQRMNOQQTHJNLPCDEFMDB00147156";1;1;2005;2;43;"N";0;196;4;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1700;"8";"9";"8";NA;"9";NA;425;"7";"7";"7";NA;"8";NA;241
"TQRMNORUUHJNLPCDEFMDB00147159";1;1;2005;2;43;"N";0;196;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNORRRHJNLPCDEFMDB00147158";1;1;2005;2;43;"N";0;196;4;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;770;"5";"5";"5";NA;"5";NA;192.5;"3";"4";"3";NA;"4";NA;263
"TQRMNOQXPHJNLPCDEFMDB00147157";1;1;2005;2;43;"N";0;196;3;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;1430;"8";"8";"8";NA;"8";NA;238.33;"4";"5";"4";NA;"5";NA;196
"TQRMNOQTWHMLKQCDEFMDB00173891";1;1;2005;2;43;"N";0;211;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;0;7;2550;"10";"10";"10";NA;"10";NA;364.29;"6";"7";"6";NA;"7";NA;247
"TQRMNORYPHMLKQCDEFMDB00173894";1;1;2005;2;43;"N";0;211;4;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1720;"8";"9";"9";NA;"9";NA;430;"7";"7";"7";NA;"8";NA;262
"TQRMNORTTHMLKQCDEFMDB00173893";1;1;2005;2;43;"N";0;211;4;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;700;"4";"5";"4";NA;"5";NA;233.33;"4";"5";"4";NA;"5";NA;276
"TQRMNOPWPHMLKQCDEFMDB00173890";1;1;2005;2;43;"N";0;211;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;1;3;1000;"6";"6";"6";NA;"7";NA;250;"4";"5";"4";NA;"5";NA;262
"TQRMNOPRYHMLKQCDEFMDB00173889";1;1;2005;2;43;"N";0;211;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1000;"6";"6";"6";NA;"7";NA;250;"4";"5";"4";NA;"5";NA;291
"TQRMNOQYUHMLKQCDEFMDB00173892";1;1;2005;2;43;"N";0;211;3;3;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"00";"00";"00";NA;"00";NA;0;"00";"00";"00";NA;"00";NA;255
"TQRMNOQPXHJOKPCDEFMDB00147168";1;1;2005;2;43;"N";0;179;4;3;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOPPTHJOKPCDEFMDB00147166";1;1;2005;2;43;"N";0;179;3;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;500;"3";"3";"3";NA;"3";NA;166.67;"3";"3";"3";NA;"4";NA;211
"TQRMNORQRHJOKPCDEFMDB00147171";1;1;2005;2;43;"N";0;179;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;2;2;700;"4";"5";"4";NA;"5";NA;175;"3";"3";"3";NA;"4";NA;190
"TQRMNOQVUHJOKPCDEFMDB00147170";1;1;2005;2;43;"N";0;179;2;2;6;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;660;"4";"4";"4";NA;"5";NA;165;"3";"3";"3";NA;"4";NA;189
"TQRMNOQSTHJOKPCDEFMDB00147169";1;1;2005;2;43;"N";0;179;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;280;"1";"1";"1";NA;"2";NA;93.33;"1";"2";"1";NA;"2";NA;236
"TQRMNOPVYHJOKPCDEFMDB00147167";1;1;2005;2;43;"N";0;179;1;1;6;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;100;"1";"1";"1";NA;"1";NA;100;"1";"2";"1";NA;"2";NA;187
"TQRMNOQVQHMOKOCDEFMDB00173952";1;1;2005;2;43;"N";0;184;4;4;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOPUSHMOKOCDEFMDB00173950";1;1;2005;2;43;"N";0;184;1;1;6;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;4;3;1095;"6";"7";"7";NA;"7";NA;156.43;"3";"3";"3";NA;"3";NA;169
"TQRMNOPPYHMOKOCDEFMDB00173949";1;1;2005;2;43;"N";0;184;2;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;555;"3";"4";"3";NA;"4";NA;138.75;"2";"3";"2";NA;"3";NA;228
"TQRMNORXRHMOKOCDEFMDB00173954";1;1;2005;2;43;"N";0;184;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300;"1";"2";"1";NA;"2";NA;300;"5";"6";"5";NA;"6";NA;230
"TQRMNORRTHMOKOCDEFMDB00173953";1;1;2005;2;43;"N";0;184;2;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;550;"3";"3";"3";NA;"4";NA;137.5;"2";"3";"2";NA;"3";NA;172
"TQRMNOQQTHMOKOCDEFMDB00173951";1;1;2005;2;43;"N";0;184;3;3;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;560;"3";"4";"3";NA;"4";NA;112;"2";"2";"2";NA;"2";NA;223
"TQRMNOQXUHKNKSCDEFMDB00023589";1;1;2005;2;43;"N";0;206;3;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOPSYHKNKSCDEFMDB00023586";1;1;2005;2;43;"N";0;206;3;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;308;"2";"2";"2";NA;"2";NA;308;"5";"6";"5";NA;"6";NA;219
"TQRMNOPPXHKNKSCDEFMDB00023585";1;1;2005;2;43;"N";0;206;5;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;600;"3";"4";"3";NA;"4";NA;300;"5";"6";"5";NA;"6";NA;228
"TQRMNORRYHKNKSCDEFMDB00023590";1;1;2005;2;43;"N";0;206;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;460;"3";"3";"3";NA;"3";NA;153.33;"3";"3";"2";NA;"3";NA;222
"TQRMNOPVWHKNKSCDEFMDB00023587";1;1;2005;2;43;"N";0;206;5;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;2;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOQUVHLKKSCDEFMDB00177964";1;1;2005;2;43;"N";0;201;2;1;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300;"1";"2";"1";NA;"2";NA;300;"5";"6";"5";NA;"6";NA;246
"TQRMNOPYWHLKKSCDEFMDB00177963";1;1;2005;2;43;"N";0;201;3;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2000;"9";"9";"9";NA;"9";NA;1000;"9";"10";"10";NA;"10";NA;294
"TQRMNOPRXHLKKSCDEFMDB00177962";1;1;2005;2;43;"N";0;201;4;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOQYVHLKKSCDEFMDB00177965";1;1;2005;2;43;"N";0;201;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOSSWHMOKOCDEFMDB00173955";1;1;2005;2;43;"N";0;184;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;"00";"00";"00";NA;"00";NA;0;"00";"00";"00";NA;"00";NA;200
