"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOPWQHKMLLCDEFKID00150075";1;1;2004;4;43;"S";4;493;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQPXHKMLLCDEFKID00150076";1;1;2004;4;43;"S";4;493;4;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQSTHKMLLCDEFKID00150077";1;1;2004;4;43;"S";4;493;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQWPHKMLLCDEFKID00154225";1;1;2004;4;43;"S";4;493;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;300;"1";"2";"1";"1";NA;"1";300;"5";"6";"5";"5";NA;"6";601
"TQRMNORYUHKMLLCDEFKID00150081";1;1;2004;4;43;"S";4;493;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;500;"3";"3";"3";"3";NA;"3";500;"8";"8";"8";"7";NA;"8";564
"TQRMNOTVYHLKLMCDEFKID00011108";1;1;2004;4;43;"S";4;577;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;3000;"10";"10";"10";"10";NA;"10";1000;"10";"10";"10";"9";NA;"10";788
"TQRMNOPPTHJLKMCDEFKID00154041";1;1;2004;4;43;"S";4;531;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1480;"8";"8";"8";"8";NA;"9";296;"5";"6";"5";"5";NA;"6";942
"TQRMNOPSPHJLKMCDEFKID00154042";1;1;2004;4;43;"S";4;531;2;1;4;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;604;"4";"5";"4";"4";NA;"5";604;"8";"9";"9";"8";NA;"9";788
"TQRMNOQPRHJLKMCDEFKID00154043";1;1;2004;4;43;"S";4;531;4;2;1;1;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQRUHJLKMCDEFKID00154044";1;1;2004;4;43;"S";4;531;3;2;4;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
