"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOQWRHJLKMCDEFKID00154047";1;1;2004;4;43;"S";4;531;4;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1240;"7";"8";"8";"7";NA;"8";620;"8";"9";"9";"8";NA;"9";819
"TQRMNOQYUHJLKMCDEFKID00154048";1;1;2004;4;43;"S";4;531;2;1;4;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;0;2;300;"1";"2";"1";"1";NA;"2";150;"3";"3";"3";"2";NA;"2";776
"TQRMNORRPHJLKMCDEFKID00154049";1;1;2004;4;43;"S";4;531;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNORTSHLNMMCDEFKID00011218";1;1;2004;4;43;"S";4;427;5;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;0;1;1000;"6";"7";"6";"6";NA;"7";1000;"10";"10";"10";"9";NA;"10";513
"TQRMNORQUHLNMMCDEFKID00011217";1;1;2004;4;43;"S";4;427;5;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1500;"8";"9";"8";"8";NA;"9";750;"9";"9";"9";"9";NA;"9";545
"TQSMNOQYYHLNMMCDEFKID00011216";1;1;2004;4;43;"S";4;427;1;1;2;4;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200;"1";"1";"1";"1";NA;"1";200;"4";"4";"3";"3";NA;"4";486
"TQRMNOQYYHLNMMCDEFKID00011215";1;1;2004;4;43;"S";4;427;3;3;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"00";"00";"00";"00";NA;"00";0;"00";"00";"00";"00";NA;"00";414
"TQRMNOQTUHLNMMCDEFKID00011214";1;1;2004;4;43;"S";4;427;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;800;"5";"6";"5";"5";NA;"6";200;"4";"4";"3";"3";NA;"4";468
"TQRMNOQQXHLNMMCDEFKID00011213";1;1;2004;4;43;"S";4;427;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;360;"2";"2";"2";"2";NA;"2";360;"6";"7";"7";"6";NA;"7";500
"TQRMNOPYQHLNMMCDEFKID00011212";1;1;2004;4;43;"S";4;427;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;5;0;5;550;"3";"4";"4";"3";NA;"4";110;"2";"2";"2";"2";NA;"2";576
"TQRMNOPQTHLNMMCDEFKID00011210";1;1;2004;4;43;"S";4;427;4;2;3;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1900;"9";"9";"9";"9";NA;"10";380;"7";"7";"7";"6";NA;"7";518
"TQRMNOPSXHLNMMCDEFKID00011211";1;1;2004;4;43;"S";4;427;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;5;0;5;3000;"10";"10";"10";"10";NA;"10";600;"8";"9";"9";"8";NA;"9";619
"TQRMNOQXSHMPLMCDEFKID00011426";3;1;2004;4;43;"S";4;529;2;2;4;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;0;1;750;"5";"5";"5";"5";NA;"5";750;"9";"9";"9";"9";NA;"9";580
"TQRMNORPYHMPLMCDEFKID00011427";1;1;2004;4;43;"S";4;529;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1200;"7";"8";"7";"7";NA;"8";400;"7";"7";"7";"7";NA;"7";600
"TQRMNOPTVHMPLMCDEFKID00011421";1;1;2004;4;43;"S";4;529;3;2;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;0;2;350;"2";"2";"2";"2";NA;"2";175;"3";"4";"3";"3";NA;"3";621
"TQRMNOQPPHMPLMCDEFKID00011423";1;1;2004;4;43;"S";4;529;3;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;200;"1";"1";"1";"1";NA;"1";200;"4";"4";"3";"3";NA;"4";657
"TQRMNOPWPHMPLMCDEFKID00011422";1;1;2004;4;43;"S";4;529;4;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;380;"2";"2";"2";"2";NA;"2";63.33;"1";"1";"1";"1";NA;"1";665
"TQRMNOQRXHMPLMCDEFKID00011424";1;1;2004;4;43;"S";4;529;1;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;100;"1";"1";"1";"1";NA;"1";33.33;"1";"1";"1";"1";NA;"1";590
"TQRMNOQUUHMPLMCDEFKID00011425";1;1;2004;4;43;"S";4;529;3;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;800;"5";"6";"5";"5";NA;"6";266.67;"5";"6";"5";"5";NA;"5";606
"TQRMNOSPSHMPLMCDEFKID00011428";1;1;2004;4;43;"S";4;529;4;3;1;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;13;3;10;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOSQUHMPLMCDEFKID00011429";1;1;2004;4;43;"S";4;529;1;1;1;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;6;3;3;0;"00";"00";"00";"00";NA;"00";0;"00";"00";"00";"00";NA;"00";394
"TQRMNOQTWHJLKMCDEFKID00154045";1;1;2004;4;43;"S";4;531;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;400;"2";"3";"2";"2";NA;"3";400;"7";"7";"7";"7";NA;"7";787
"TQSMNOQTWHJLKMCDEFKID00154046";1;1;2004;4;43;"S";4;531;6;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;4;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQVUHKNLUCDEFKID00150144";1;1;2004;4;43;"S";4;411;3;3;8;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;600;"4";"4";"4";"3";NA;"4";150;"3";"3";"3";"2";NA;"2";434
"TQRMNOPXSHKNLUCDEFKID00150141";1;1;2004;4;43;"S";4;411;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1260;"7";"8";"8";"7";NA;"8";315;"6";"6";"6";"6";NA;"6";522
"TQRMNOQPTHKNLUCDEFKID00150142";1;1;2004;4;43;"S";4;411;4;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;750;"5";"5";"5";"5";NA;"5";250;"5";"5";"4";"4";NA;"5";506
"TQRMNORPYHKNLUCDEFKID00150146";1;1;2004;4;43;"S";4;411;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;450;"3";"3";"3";"2";NA;"3";150;"3";"3";"3";"2";NA;"2";517
"TQRMNOPUPHKOKTCDEFKID00150157";1;1;2004;4;43;"S";4;536;2;1;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;900;"6";"6";"6";"5";NA;"6";450;"7";"8";"7";"7";NA;"8";664
"TQRMNOQUQHKOKTCDEFKID00150158";1;1;2004;4;43;"S";4;536;1;1;9;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;750;"5";"5";"5";"5";NA;"6";125;"2";"3";"2";"2";NA;"2";702
"TQSMNORTYHKOKTCDEFKID00154242";1;1;2004;4;43;"S";4;536;2;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1000;"6";"7";"6";"6";NA;"7";250;"5";"5";"4";"4";NA;"5";580
"TQTMNORTYHKOKTCDEFKID00154243";1;1;2004;4;43;"S";4;536;1;1;2;2;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"00";"00";"00";"00";NA;"00";0;"00";"00";"00";"00";NA;"00";461
"TQUMNORTYHKOKTCDEFKID00154244";1;1;2004;4;43;"S";4;536;1;1;2;2;3;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;150;"1";"1";"1";"1";NA;"1";75;"1";"1";"1";"1";NA;"1";565
"TQVMNORTYHKOKTCDEFKID00154245";1;1;2004;4;43;"S";4;536;1;1;2;2;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;750;"5";"5";"5";"5";NA;"6";750;"9";"9";"9";"9";NA;"10";562
"TQWMNORTYHKOKTCDEFKID00154246";1;1;2004;4;43;"S";4;536;2;1;2;2;3;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;300;"1";"2";"1";"1";NA;"2";100;"2";"2";"2";"2";NA;"1";565
"TQXMNORTYHKOKTCDEFKID00154247";1;1;2004;4;43;"S";4;536;2;1;2;2;3;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;100;"1";"1";"1";"1";NA;"1";33.33;"1";"1";"1";"1";NA;"1";511
"TQRMNOSXWHKOKTCDEFKID00150160";1;1;2004;4;43;"S";4;536;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;600;"4";"4";"4";"3";NA;"4";200;"4";"4";"3";"3";NA;"4";566
"TQRMNOTYYHKOKTCDEFKID00154248";1;1;2004;4;43;"S";4;536;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;500;"3";"3";"3";"3";NA;"3";500;"8";"8";"8";"7";NA;"8";549
"TQRMNOTSSHKOKTCDEFKID00150161";1;1;2004;4;43;"S";4;536;2;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;950;"6";"7";"6";"6";NA;"7";316.67;"6";"6";"6";"6";NA;"6";647
"TQRMNOTVVHKOKTCDEFKID00150162";1;1;2004;4;43;"S";4;536;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;500;"3";"3";"3";"3";NA;"3";83.33;"1";"2";"1";"1";NA;"1";558
"TQRMNOQQRHJKKUCDEFKID00154036";1;1;2004;4;43;"S";4;700;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;0;2;1250;"7";"8";"8";"7";NA;"8";625;"8";"9";"9";"8";NA;"9";886
"TQRMNOQVWHJKKUCDEFKID00154037";1;1;2004;4;43;"S";4;700;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOSUXHJKKUCDEFKID00154038";1;1;2004;4;43;"S";4;700;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;3200;"10";"10";"10";"10";NA;"10";1066.67;"10";"10";"10";"10";NA;"10";1001
"TQRMNOTTUHJKKUCDEFKID00154039";1;1;2004;4;43;"S";4;700;1;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1200;"7";"8";"7";"7";NA;"8";1200;"10";"10";"10";"10";NA;"10";929
"TQRMNOPWQHJMKMCDEFKID00154066";1;1;2004;4;43;"S";4;524;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;308;"2";"2";"2";"2";NA;"2";308;"6";"6";"6";"5";NA;"6";623
"TQRMNOQVVHJMKMCDEFKID00154067";1;1;2004;4;43;"S";4;524;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1250;"7";"8";"8";"7";NA;"8";625;"8";"9";"9";"8";NA;"9";767
"TQRMNORTRHJMKMCDEFKID00154068";1;1;2004;4;43;"S";4;524;5;2;9;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;2987;"10";"10";"10";"10";NA;"10";746.75;"9";"9";"9";"9";NA;"9";679
"TQRMNORYRHJMKMCDEFKID00154069";1;1;2004;4;43;"S";4;524;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOSSWHJMKMCDEFKID00154070";1;1;2004;4;43;"S";4;524;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;320;"2";"2";"2";"2";NA;"2";160;"3";"3";"3";"3";NA;"3";680
"TQRMNOTSYHJMKMCDEFKID00154071";1;1;2004;4;43;"S";4;524;4;3;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1300;"7";"8";"8";"7";NA;"8";260;"5";"5";"5";"5";NA;"5";832
"TQRMNOQPUHLPKMCDEFKID00011252";1;1;2004;4;43;"S";4;712;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQSMNOQPUHLPKMCDEFKID00154261";1;1;2004;4;43;"S";4;712;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQVWHLPKMCDEFKID00011253";1;1;2004;4;43;"S";4;712;3;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;2;3;900;"6";"6";"6";"5";NA;"6";180;"3";"4";"3";"3";NA;"3";807
"TQRMNORQTHLPKMCDEFKID00154262";1;1;2004;4;43;"S";4;712;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;600;"4";"4";"4";"3";NA;"4";150;"3";"3";"3";"2";NA;"2";927
"TQRMNORWQHLPKMCDEFKID00011254";1;1;2004;4;43;"S";4;712;4;3;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2;14;8;6;450;"3";"3";"3";"2";NA;"3";32.14;"1";"1";"1";"1";NA;"1";559
"TQRMNOSRXHLPKMCDEFKID00011255";1;1;2004;4;43;"S";4;712;3;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;4;1;3;200;"1";"1";"1";"1";NA;"1";50;"1";"1";"1";"1";NA;"1";665
"TQRMNOSXTHLPKMCDEFKID00011256";1;1;2004;4;43;"S";4;712;5;3;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;6;0;6;1200;"7";"8";"7";"7";NA;"8";200;"4";"4";"3";"3";NA;"4";944
"TQRMNOTXYHLPKMCDEFKID00154263";1;1;2004;4;43;"S";4;712;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;7;2;5;1000;"6";"7";"7";"6";NA;"7";142.86;"3";"3";"2";"2";NA;"2";795
"TQRMNOUSXHLPKMCDEFKID00011257";1;1;2004;4;43;"S";4;712;3;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;550;"3";"4";"4";"3";NA;"4";110;"2";"2";"2";"2";NA;"2";725
"TQRMNOQSQHLLKSCDEFKID00011117";1;1;2004;4;43;"S";4;621;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;800;"5";"6";"5";"5";NA;"6";800;"9";"10";"9";"9";NA;"10";944
"TQRMNOQWQHLLKSCDEFKID00011118";1;1;2004;4;43;"S";4;621;5;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1850;"9";"9";"9";"9";NA;"9";925;"9";"10";"10";"9";NA;"10";1024
"TQRMNORUUHLLKSCDEFKID00154255";1;1;2004;4;43;"S";4;621;5;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNORRYHKMLLCDEFKID00150079";1;1;2004;4;43;"S";4;493;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;800;"5";"6";"5";"5";NA;"6";160;"3";"3";"3";"3";NA;"3";650
"TQRMNORVSHJOLMCDEFKID00154197";1;1;2004;4;43;"S";4;499;3;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;580;"4";"4";"4";"3";NA;"4";290;"5";"6";"5";"5";NA;"5";559
"TQRMNOQQVHJOLMCDEFKID00154195";1;1;2004;4;43;"S";4;499;3;2;6;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;450;"3";"3";"3";"2";NA;"3";64.29;"1";"1";"1";"1";NA;"1";482
"TQRMNOQXVHKNLUCDEFKID00150145";1;1;2004;4;43;"S";4;411;8;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;6;550;"3";"4";"4";"3";NA;"4";78.57;"1";"2";"1";"1";NA;"1";742
"TQRMNOPRYHMLKPCDEFKID00011279";1;1;2004;4;43;"S";4;585;4;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;3;0;3;1000;"6";"7";"7";"6";NA;"7";333.33;"6";"7";"6";"6";NA;"7";852
"TQRMNOSTYHMLKPCDEFKID00011283";2;1;2004;4;43;"S";4;585;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;1600;"8";"9";"9";"8";NA;"9";800;"9";"10";"9";"9";NA;"10";981
"TQRMNOTSVHMLKPCDEFKID00011284";1;1;2004;4;43;"S";4;585;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;0;4;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOPSVHLMLMCDEFKID00011140";1;1;2004;4;43;"S";4;529;5;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1140;"7";"7";"7";"7";NA;"8";228;"4";"5";"4";"4";NA;"4";752
"TQRMNOQRSHLMLMCDEFKID00011142";1;1;2004;4;43;"S";4;529;3;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNORUTHLMLMCDEFKID00011144";1;1;2004;4;43;"S";4;529;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNORYQHLMLMCDEFKID00011145";1;1;2004;4;43;"S";4;529;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;308;"2";"2";"2";"2";NA;"2";154;"3";"3";"3";"3";NA;"3";687
"TQRMNOSSUHLMLMCDEFKID00011146";1;1;2004;4;43;"S";4;529;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOSWQHLMLMCDEFKID00011147";1;1;2004;4;43;"S";4;529;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOTQVHLMLMCDEFKID00011148";1;1;2004;4;43;"S";4;529;3;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNORPXHLMLMCDEFKID00011143";1;1;2004;4;43;"S";4;529;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;1050;"7";"7";"7";"6";NA;"7";210;"4";"5";"4";"4";NA;"4";689
"TQRMNOPWTHKOLNCDEFKID00150163";1;1;2004;4;43;"S";4;448;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;700;"4";"5";"5";"4";NA;"5";175;"3";"4";"3";"3";NA;"3";462
"TQRMNOQPXHKOLNCDEFKID00150164";1;1;2004;4;43;"S";4;448;2;2;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1000;"6";"7";"7";"6";NA;"7";333.33;"6";"7";"6";"6";NA;"7";541
"TQRMNOQTWHKOLNCDEFKID00150165";1;1;2004;4;43;"S";4;448;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1500;"8";"9";"8";"8";NA;"9";375;"7";"7";"7";"6";NA;"7";511
"TQRMNOQWYHKOLNCDEFKID00150166";1;1;2004;4;43;"S";4;448;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;500;"3";"3";"3";"3";NA;"3";166.67;"3";"4";"3";"3";NA;"3";562
"TQRMNORQYHKOLNCDEFKID00150167";1;1;2004;4;43;"S";4;448;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;550;"3";"4";"4";"3";NA;"4";110;"2";"2";"2";"2";NA;"2";528
