"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOPXVHINKPCDEGNFJ00151515";1;1;2005;3;44;"N";0;239;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4;0;4;350;"2";"2";"1";NA;"2";NA;87.5;"1";"1";"1";NA;"2";NA;383
"TQRMNORPYHINKPCDEGNFJ00151517";1;1;2005;3;44;"N";0;239;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1535;"7";"8";"5";NA;"8";NA;307;"5";"5";"4";NA;"6";NA;475
"TQRMNOQURHINKPCDEGNFJ00151516";1;1;2005;3;44;"N";0;239;2;2;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;280;"1";"1";"1";NA;"1";NA;140;"2";"2";"1";NA;"3";NA;263
"TQRMNOPRVHINKPCDEGNFJ00151514";1;1;2005;3;44;"N";0;239;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;2700;"9";"10";"8";NA;"10";NA;900;"9";"9";"8";NA;"9";NA;429
"TQRMNOPWTHINKSCDEGNFJ00148025";1;1;2005;3;44;"N";0;367;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;6;1;5;2052;"8";"9";"7";NA;"9";NA;342;"5";"6";"4";NA;"6";NA;593
"TQRMNORRVHINKSCDEGNFJ00148027";1;1;2005;3;44;"N";0;367;2;2;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;3;4;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOQSUHINKSCDEGNFJ00148026";1;1;2005;3;44;"N";0;367;2;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;3;0;3;690;"4";"4";"2";NA;"4";NA;230;"3";"4";"3";NA;"4";NA;532
"TQRMNOPVPHIMKRCDEGNFJ00148004";1;1;2005;3;44;"N";0;339;4;3;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1800;"8";"8";"6";NA;"8";NA;1800;"10";"10";"10";NA;"10";NA;394
"TQRMNOQYTHIMKRCDEGNFJ00148005";1;1;2005;3;44;"N";0;339;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;4;1;3;1650;"8";"8";"6";NA;"8";NA;412.5;"6";"6";"5";NA;"7";NA;529
"TQRMNOSUQHIMKRCDEGNFJ00148007";1;1;2005;3;44;"N";0;339;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNOTSYHIMKRCDEGNFJ00148008";1;1;2005;3;44;"N";0;339;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2400;"9";"9";"7";NA;"9";NA;800;"8";"9";"7";NA;"9";NA;456
"TQRMNORWPHIMKRCDEGNFJ00148006";1;1;2005;3;44;"N";0;339;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
"TQRMNORVXHINKPCDEGNFJ00151518";1;1;2005;3;44;"N";0;239;2;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;5;1;4;0;"12";"12";"12";NA;"12";NA;0;"12";"12";"12";NA;"12";NA;0
