"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOSPSHIKKRCDEFIAH00020536";1;1;2005;1;43;"S";2;370;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQSXHIKKRCDEFIAH00020534";1;1;2005;1;43;"S";2;370;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOSTSHIKKRCDEFIAH00020537";1;1;2005;1;43;"S";2;370;5;1;1;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;750;"4";"5";"5";"4";NA;"4";750;"9";"9";"9";"8";NA;"8";408
"TQRMNOSTSHIKKRCDEFIAH00020537";3;1;2005;1;43;"S";2;370;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;400;"2";"2";"2";"2";NA;"2";400;"6";"7";"6";"6";NA;"6";440
"TQRMNOTPSHIKKRCDEFIAH00020538";1;1;2005;1;43;"S";2;370;3;2;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;3050;"10";"10";"10";"10";NA;"10";1525;"10";"10";"10";"10";NA;"10";489
"TQRMNORYQHILLTCDEFIAH00001034";3;1;2005;1;43;"S";2;379;2;1;6;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2;2;1;1;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQPYHINKRCDEFIAH00020760";1;1;2005;1;43;"S";2;326;6;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1500;"8";"8";"8";"7";NA;"8";375;"6";"7";"6";"6";NA;"5";435
"TQRMNOSVUHINKRCDEFIAH00020764";1;1;2005;1;43;"S";2;326;4;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;4;0;4;1450;"7";"8";"8";"7";NA;"7";362.5;"6";"6";"6";"6";NA;"5";500
"TQRMNOSQRHINKRCDEFIAH00020763";1;1;2005;1;43;"S";2;326;3;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;875;"5";"6";"6";"5";NA;"5";291.67;"5";"5";"5";"5";NA;"4";438
"TQRMNOUURHIMMTCDEFIAH00173390";1;1;2005;1;43;"S";2;358;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0
"TQRMNOQWUHIMMTCDEFIAH00173388";1;1;2005;1;43;"S";2;358;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1660;"8";"8";"9";"8";NA;"8";415;"7";"7";"7";"6";NA;"6";525
"TQRMNOSTYHIMMTCDEFIAH00153860";1;1;2005;1;43;"S";2;358;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;4;0;4;0;"00";"00";"00";"00";NA;"00";0;"00";"00";"00";"00";NA;"00";537
"TQRMNOTXUHIMMTCDEFIAH00153862";1;1;2005;1;43;"S";2;358;3;2;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;2;3;2620;"9";"10";"10";"9";NA;"9";524;"7";"8";"8";"7";NA;"7";612
