"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCF_R";"DECIF_R";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNORYUHJPKOCDEGJBF00146623";1;2004;2;43;"S";13;382;399;"4";"4";1;5;1;5;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;600;200
"TQRMNORYUHJPKOCDEGJBF00146623";2;2004;2;43;"S";13;382;0;"12";"12";1;5;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQSMNOSWXHJPKOCDEGJBF00146626";1;2004;2;43;"S";13;382;315;"2";"5";1;5;3;4;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;6;1;5;735;122.5
"TQRMNOQSUHJPKOCDEGJBF00146618";1;2004;2;43;"S";13;382;346;"2";"3";1;1;1;2;2;3;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;470;94
"TQRMNOSSVHJPKOCDEGJBF00146624";1;2004;2;43;"S";13;382;399;"3";"5";1;3;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;700;140
"TQRMNOSPUHJMLUCDEGJBF00146517";1;2004;2;43;"S";13;465;0;"12";"12";1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;0;0
"TQRMNOSYVHJMLUCDEGJBF00146518";1;2004;2;43;"S";13;465;697;"3";"8";1;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;2;7;1290;143.33
"TQRMNOSPVHMKKPCDEGJBF00022701";1;2004;2;43;"S";13;662;0;"12";"12";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOVURHMKKPCDEGJBF00022705";1;2004;2;43;"S";13;662;860;"6";"5";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;2;2;0;2;650;325
"TQRMNOQRVHMKKPCDEGJBF00146688";1;2004;2;43;"S";13;662;0;"12";"12";1;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
