"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"IDIMPH"
"339430";1;1;2012;4;43;"S";2;513;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;14300;"10";"10";"10";"10";"";"10";4766.66666666667;"09";"09";"09";"09";"";"09";1;2;3;0;0;0;"00000"
"337624";1;1;2012;4;43;"S";2;549;1;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;6500;"06";"07";"07";"06";"";"07";3250;"08";"08";"08";"08";"";"08";1;2;98;0;0;0;"10010"
"333183";1;1;2012;4;43;"S";2;925;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2000;"01";"02";"02";"01";"";"01";2000;"05";"06";"05";"05";"";"05";1;0;98;0;0;0;"00000"
"331333";1;1;2012;4;43;"S";2;925;4;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";1;"";2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2000;"01";"02";"02";"01";"";"01";2000;"05";"06";"05";"05";"";"05";1;0;98;0;0;0;"00000"
"336513";1;1;2012;4;43;"S";2;885;2;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2000;"01";"02";"02";"01";"";"01";2000;"05";"06";"05";"05";"";"05";97;0;98;0;0;0;"00010"
"333261";1;1;2012;4;43;"S";2;1333;2;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;12000;"09";"09";"09";"09";"";"10";6000;"10";"10";"10";"10";"";"10";1;0;2;0;0;0;"00000"
"335500";1;1;2012;4;43;"S";2;816;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;3300;"03";"03";"03";"03";"";"03";1650;"04";"05";"04";"04";"";"04";1;2;98;0;0;0;"00000"
"332087";1;1;2012;4;43;"S";2;1006;1;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";1;0;98;0;0;0;"00000"
"335046";1;1;2012;4;43;"S";2;997;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;4000;"04";"04";"04";"04";"";"04";2000;"05";"06";"05";"05";"";"05";1;0;2;0;0;0;"00000"
"362493";1;1;2012;4;43;"S";2;915;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;1;4000;"04";"04";"04";"04";"";"04";1333.33333333333;"03";"04";"03";"03";"";"03";1;0;98;0;0;0;"00000"
"365406";1;1;2012;4;43;"S";2;1133;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;6000;"06";"06";"06";"06";"";"06";3000;"07";"08";"07";"07";"";"07";2;0;1;0;0;0;"00000"
"366028";1;1;2012;4;43;"S";2;1102;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3500;"03";"03";"03";"03";"";"03";1750;"05";"05";"04";"04";"";"04";1;2;97;0;0;0;"00000"
"363243";1;1;2012;4;43;"S";2;1009;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;8200;"08";"08";"08";"08";"";"08";2733.33333333333;"07";"07";"07";"07";"";"07";1;2;98;0;0;0;"00000"
"366079";1;1;2012;4;43;"S";2;1058;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;6000;"06";"06";"06";"06";"";"06";2000;"05";"06";"05";"05";"";"05";2;0;1;0;0;0;"00000"
"361854";1;1;2012;4;43;"S";2;1133;2;"";2;1;"";2;1;1;1;"";1;1;1;1;1;1;2;2;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;7600;"07";"08";"08";"07";"";"08";3800;"08";"09";"09";"08";"";"08";1;2;98;0;0;0;"00000"
"338169";1;1;2012;4;43;"S";2;778;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;7000;"07";"07";"07";"06";"";"07";2333.33333333333;"06";"07";"06";"06";"";"06";1;2;96;0;0;0;"00010"
"338254";1;1;2012;4;43;"S";2;713;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;7000;"07";"07";"07";"06";"";"07";7000;"10";"10";"10";"10";"";"10";1;0;96;0;0;0;"00010"
"342952";1;1;2012;4;43;"S";2;747;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;14750;"10";"10";"10";"10";"";"10";4916.66666666667;"09";"10";"09";"09";"";"09";1;2;96;0;0;0;"10010"
"335449";1;1;2012;4;43;"S";2;1255;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;3600;"03";"04";"03";"03";"";"03";1800;"05";"05";"04";"04";"";"04";1;2;98;0;0;0;"00000"
"331997";1;1;2012;4;43;"S";2;1013;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;10800;"09";"09";"09";"09";"";"09";3600;"08";"09";"08";"08";"";"08";2;0;98;0;0;0;"10010"
"332108";1;1;2012;4;43;"S";2;1572;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;7500;"07";"08";"07";"07";"";"08";7500;"10";"10";"10";"10";"";"10";1;0;98;0;0;0;"00000"
"335338";1;1;2012;4;43;"S";2;1136;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;11000;"09";"09";"09";"09";"";"10";11000;"10";"10";"10";"10";"";"10";1;0;96;0;0;0;"10010"
"334279";1;1;2012;4;43;"S";2;1421;2;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;3800;"04";"04";"04";"03";"";"04";3800;"08";"09";"09";"08";"";"08";1;0;98;0;0;0;"00000"
"332453";1;1;2012;4;43;"S";2;1047;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;3000;"02";"03";"03";"02";"";"03";1500;"04";"04";"03";"03";"";"03";1;2;98;0;0;0;"00010"
"335801";1;1;2012;4;43;"S";2;1047;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;3000;"02";"03";"03";"02";"";"03";1500;"04";"04";"03";"03";"";"03";2;0;3;0;0;0;"00010"
"359312";1;1;2012;4;43;"S";2;1648;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;10600;"09";"09";"09";"09";"";"09";10600;"10";"10";"10";"10";"";"10";1;0;98;0;0;0;"10100"
"337919";1;1;2012;4;43;"S";2;747;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";1;0;98;0;0;0;"00010"
"341784";1;1;2012;4;43;"S";2;848;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;0;1;2500;"02";"02";"02";"02";"";"02";2500;"06";"07";"07";"06";"";"06";1;0;98;0;0;0;"00000"
"338693";1;1;2012;4;43;"S";2;1002;2;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;6000;"06";"06";"06";"06";"";"06";6000;"10";"10";"10";"10";"";"10";1;0;98;0;0;0;"10000"
"338660";1;1;2012;4;43;"S";2;596;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;6000;"06";"06";"06";"06";"";"06";2000;"05";"06";"05";"05";"";"05";1;2;3;0;0;0;"00010"
"338776";1;1;2012;4;43;"S";2;747;1;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";1;0;97;0;0;0;"00010"
"331650";1;1;2012;4;43;"S";2;1008;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1000;"01";"01";"01";"01";"";"01";1000;"02";"03";"02";"02";"";"02";1;0;98;0;0;0;"00000"
"331411";1;1;2012;4;43;"S";2;1139;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;6;0;6;8000;"07";"08";"08";"07";"";"08";1333.33333333333;"03";"04";"03";"03";"";"03";2;0;1;0;0;0;"00000"
"336647";1;1;2012;4;43;"S";2;1352;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";1;0;98;0;0;0;"00000"
"334007";1;1;2012;4;43;"S";2;1145;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2000;"01";"02";"02";"01";"";"01";2000;"05";"06";"05";"05";"";"05";1;0;98;0;0;0;"00000"
"335467";1;1;2012;4;43;"S";2;1053;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;1200;"01";"01";"01";"01";"";"01";1200;"03";"03";"03";"03";"";"02";1;0;98;0;0;0;"00000"
"335991";1;1;2012;4;43;"S";2;1260;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;3500;"03";"03";"03";"03";"";"03";3500;"08";"08";"08";"08";"";"08";1;0;98;0;0;0;"00000"
"334558";1;1;2012;4;43;"S";2;804;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;3;0;3;6200;"06";"07";"06";"06";"";"07";2066.66666666667;"06";"06";"06";"06";"";"05";1;2;3;0;0;0;"00000"
"366124";1;1;2012;4;43;"S";2;506;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";1;0;98;0;0;0;"00000"
"367461";1;1;2012;4;43;"S";2;808;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;3000;"02";"03";"03";"02";"";"03";1000;"02";"03";"02";"02";"";"02";96;0;98;0;0;0;"00000"
"367461";2;1;2012;4;43;"S";2;808;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;"";0;"";0;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;"02";"03";"03";"02";"";"03";3000;"07";"08";"07";"07";"";"07";51;0;98;0;0;0;"00000"
"363102";1;1;2012;4;43;"S";2;678;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;6000;"06";"06";"06";"06";"";"06";6000;"10";"10";"10";"10";"";"10";1;0;98;0;0;0;"00000"
"366157";1;1;2012;4;43;"S";2;591;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2800;"02";"02";"02";"02";"";"02";1400;"03";"04";"03";"03";"";"03";1;0;98;0;0;0;"00000"
"356172";1;1;2012;4;43;"S";2;612;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;0;1;4000;"04";"04";"04";"04";"";"04";4000;"09";"09";"09";"08";"";"09";1;0;98;0;0;0;"00000"
"359253";1;1;2012;4;43;"S";2;757;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5800;"06";"06";"06";"05";"";"06";5800;"10";"10";"10";"10";"";"10";96;0;98;0;0;0;"10010"
"357626";1;1;2012;4;43;"S";2;522;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;3000;"02";"03";"03";"02";"";"03";1000;"02";"03";"02";"02";"";"02";2;0;98;0;0;0;"00010"
"341539";1;1;2012;4;43;"S";2;634;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;2000;"01";"02";"02";"01";"";"02";1000;"02";"03";"02";"02";"";"02";1;2;98;0;0;0;"00000"
"342596";1;1;2012;4;43;"S";2;782;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;4000;"04";"04";"04";"04";"";"04";4000;"09";"09";"09";"08";"";"09";1;0;98;0;0;0;"00000"
"362364";1;1;2012;4;43;"S";2;1256;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;2;1;1;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;9000;"08";"08";"08";"08";"";"08";3000;"07";"08";"07";"07";"";"07";1;2;98;0;0;0;"00000"
"362781";1;1;2012;4;43;"S";2;1235;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3700;"03";"04";"04";"03";"";"04";3700;"08";"09";"08";"08";"";"08";1;0;98;0;0;0;"10000"
"362235";1;1;2012;4;43;"S";2;957;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;1;1;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;5900;"06";"06";"06";"06";"";"06";1966.66666666667;"05";"06";"05";"05";"";"05";1;2;3;0;0;0;"00010"
"365766";1;1;2012;4;43;"S";2;1125;1;"";6;1;"";4;1;1;1;"";1;1;1;1;2;2;2;6;2;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2400;"02";"02";"02";"02";"";"02";1200;"03";"03";"03";"03";"";"02";1;2;98;0;0;0;"10000"
"364660";1;1;2012;4;43;"S";2;904;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;7000;"07";"07";"07";"06";"";"07";3500;"08";"08";"08";"08";"";"08";1;2;98;0;0;0;"10000"
"356294";1;1;2012;4;43;"S";2;464;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;2;2;9200;"08";"09";"09";"08";"";"09";2300;"06";"07";"06";"06";"";"06";1;0;98;0;0;0;"00100"
"356707";1;1;2012;4;43;"S";2;364;1;"";3;1;"";5;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2000;"01";"02";"02";"01";"";"02";2000;"05";"06";"05";"05";"";"05";1;0;98;0;0;0;"00010"
