"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"IDIMPH"
"362482";1;1;2012;4;43;"S";2;756;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;3;0;3;7000;"07";"07";"07";"06";"";"07";2333.33333333333;"06";"07";"06";"06";"";"06";1;2;3;0;0;0;"10000"
"364299";1;1;2012;4;43;"S";2;724;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;7000;"07";"07";"07";"06";"";"07";7000;"10";"10";"10";"10";"";"10";1;0;98;0;0;0;"00000"
"365358";1;1;2012;4;43;"S";2;794;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;8400;"08";"08";"08";"08";"";"08";2800;"07";"08";"07";"07";"";"07";3;0;98;0;0;0;"00010"
"363429";1;1;2012;4;43;"S";2;733;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;2000;"01";"02";"02";"01";"";"01";1000;"02";"03";"02";"02";"";"02";1;0;2;0;0;0;"00000"
"363759";1;1;2012;4;43;"S";2;794;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;16300;"10";"10";"10";"10";"";"10";5433.33333333333;"10";"10";"10";"09";"";"09";2;0;1;3;0;0;"10000"
"361943";1;1;2012;4;43;"S";2;756;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3300;"03";"03";"03";"03";"";"03";3300;"08";"08";"08";"08";"";"08";1;0;98;0;0;0;"00000"
"362263";1;1;2012;4;43;"S";2;822;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;2800;"02";"02";"02";"02";"";"02";2800;"07";"08";"07";"07";"";"07";1;0;98;0;0;0;"00000"
"338158";1;1;2012;4;43;"S";2;493;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;5500;"05";"06";"06";"05";"";"05";1833.33333333333;"05";"05";"05";"05";"";"04";1;2;3;0;0;0;"00000"
"339969";1;1;2012;4;43;"S";2;451;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;9300;"08";"09";"09";"08";"";"09";9300;"10";"10";"10";"10";"";"10";1;0;96;0;0;0;"00010"
"341022";1;1;2012;4;43;"S";2;582;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;3860;"04";"04";"04";"03";"";"04";3860;"09";"09";"09";"08";"";"08";1;0;98;0;0;0;"00000"
