Mes,Toallitas,Tampones
1/3/2019,6.75,7.44
1/9/2019,8.63,10.37
1/3/2020,10.26,13.22
1/9/2020,10.46,13.72
1/3/2021,11.31,14.59
1/9/2021,14.34,16.38
1/3/2022,17.1,18.57
1/9/2022,25.78,27.08
1/3/2023,38.16,42.47
1/9/2023,52.22,52.46
1/3/2024,151.32,224.59
1/9/2024,220.65,326.85
