NOMBRE,PRESENTACION,LABORATORIO,BAJA,VIGENCIA,FECHA,PRECIO,DROGA,DROGAS25,DROGAS25EXT,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,FORMA,VARIEDAD_REV,VARIEDAD_COUNT,VARIEDAD_COD,VARIEDAD_DES,REMEDIAR,LABSEL,TIPO_DE_VENTA,IMPORTADO,TIPOAGRUPA,MARCAAGRUPA,D_MARCA_CONTROLADO,D_TAMANO,D_PAMI,C_PAMI,C_LABORATORIO,C_BARRA,C_TAMANO,C_ACCION,C_DROGA,C_FORMA,C_UPOTENCI,C_TIPOUNID,C_VIA,SNOMED,GTIN1,TROQUEL,ACCION,VIA,CLAVE,PRECIOPAMI,categoria_busqueda,query
AVANCEL,comp.rec.x 21,PharmaDorf,0,1,04/05/2026,24065,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00600,7798103390953,001,00326,00964,00054,undefined,00005,00002,376721000221106,07798103390953,5478681,Hormonoterapia,oral,38260,0,estradiol_comprimidos,estradiol
ZINNIA,comp.rec.x 21,Laboratorios Bernabó,0,1,28/04/2026,25838,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00157,7792175008938,001,00036,00964,00054,undefined,00005,00002,153211000221105,07792175008938,5780551,Anticonceptivo,oral,43482,0,estradiol_comprimidos,estradiol
MILEVA 35,comp.rec.x 21,Elea,0,1,16/04/2026,25892,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285050863,001,00326,00964,00054,undefined,00005,00002,134421000221104,07796285050863,5146091,Hormonoterapia,oral,33018,0,estradiol_comprimidos,estradiol
DIANE 35,blist.grag.x 21,Bayer (PH),0,1,05/05/2026,27560,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7795320010510,001,00326,00964,00054,undefined,00005,00002,124291000221104,07795320010510,3036601,Hormonoterapia,oral,661,0,estradiol_comprimidos,estradiol
MARVELON,comp.x 21,Organon Arg.,0,1,04/05/2026,42437,desogestrel+etinilestradiol,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00172,7795318000295,001,00036,02826,00054,undefined,00005,00002,169361000221106,07798376720303,2817251,Anticonceptivo,oral,6191,23387,estradiol_comprimidos,estradiol
MERCILON,comp.x 21,Organon Arg.,0,1,04/05/2026,42437,desogestrel+etinilestradiol,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00172,7795318001049,001,00036,02826,00054,undefined,00005,00002,98761000221108,07798376720310,3929281,Anticonceptivo,oral,15883,23387,estradiol_comprimidos,estradiol
FLORENCE,comp.rec.x 21,Elea,0,1,16/04/2026,63141,dienogest+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285053307,001,00036,10505,00054,undefined,00005,00002,115701000221107,07796285053307,5171411,Anticonceptivo,oral,41199,0,estradiol_comprimidos,estradiol
DIENOPIL 28,comp.rec.x 28,PharmaDorf,0,1,04/05/2026,61376,dienogest+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00600,7798103391271,001,00036,10505,00054,undefined,00005,00002,464951000221105,07798103391271,5790712,Anticonceptivo,oral,61157,0,estradiol_comprimidos,estradiol
AZUCENA,comp.rec.x 28,Laboratorios Bernabó,0,1,28/04/2026,30992,dienogest+valerato de estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00157,7792175009331,001,00036,10788,00054,undefined,00005,00002,173171000221106,07792175009331,6145391,Anticonceptivo,oral,47828,22225,estradiol_comprimidos,estradiol
RUBI,comp.rec.x 28,Gador,0,1,29/04/2026,31692,dienogest+valerato de estradiol,,,,No Clasificada,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00103,7792183000498,001,00036,10788,00054,undefined,00005,00002,146521000221108,07792183000498,5961681,Anticonceptivo,oral,45493,22978,estradiol_comprimidos,estradiol
QLAIRA,comp.rec.x 28,Bayer (PH),0,1,05/05/2026,42039,dienogest+valerato de estradiol,,,,No Clasificada,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7795320051247,001,00036,10788,00054,undefined,00005,00002,112851000221107,07795320051247,5987681,Anticonceptivo,oral,46221,0,estradiol_comprimidos,estradiol
ATRIMON,iny.a.x 1,MR Pharma,0,1,03/03/2026,16072,dihidroxiprogesterona+estradiol,,,,mg/ml,1,unidades de 1 ml,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00879,7795342001855,001,00403,03261,00003,undefined,00013,00003,261351000221105,07798173940126,454941,Anovulatorio,inyectable IM,1316,0,estradiol_comprimidos,estradiol
GADOFEM,env.calend.comp.rec.x 28,Gador,0,1,29/04/2026,28134,drospirenona+estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00103,7792183488685,001,00326,10319,00054,undefined,00005,00002,150251000221100,07792183488685,5559001,Hormonoterapia,oral,39042,16209,estradiol_comprimidos,estradiol
EQUIFEM,comp.rec.x 28,Elea,0,1,16/04/2026,31924,drospirenona+estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285052218,001,00326,10319,00054,undefined,00005,00002,168081000221106,07796285052218,5393681,Hormonoterapia,oral,37020,0,estradiol_comprimidos,estradiol
UMMA,comp.rec.x 28,Biotenk,0,1,17/04/2026,27242,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00320,7796363002692,001,00036,10184,00054,undefined,00005,00002,148031000221102,07796363002692,5559711,Anticonceptivo,oral,41534,0,estradiol_comprimidos,estradiol
MAXIMA,comp.rec.x 28,PharmaDorf,0,1,04/05/2026,29304,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00600,7798103390991,001,00036,10184,00054,undefined,00005,00002,231761000221102,07798103390991,5477132,Anticonceptivo,oral,38259,21128,estradiol_comprimidos,estradiol
DAMSEL,comp.rec.x 28,Gador,0,1,29/04/2026,29444,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00103,7792183488548,001,00036,10184,00054,undefined,00005,00002,94061000221104,07792183488548,5348842,Anticonceptivo,oral,36244,21312,estradiol_comprimidos,estradiol
KALA,comp.rec.x 28,Laboratorios Bernabó,0,1,28/04/2026,29886,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00157,7792175008273,001,00036,10184,00054,undefined,00005,00002,188281000221104,07792175008273,5469681,Anticonceptivo,oral,38236,20694,estradiol_comprimidos,estradiol
IFENIL,comp.rec.x 28 (21+7),Casasco,0,1,27/04/2026,30569,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00045,7791909358820,001,00036,10184,00054,undefined,00005,00002,429481000221100,07791909358820,5794971,Anticonceptivo,oral,57653,0,estradiol_comprimidos,estradiol
KIRUM,comp.rec.x 28,Raffo,0,1,17/04/2026,30896,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00192,7798084684409,001,00036,10184,00054,undefined,00005,00002,160011000221100,07798084684409,5446261,Anticonceptivo,oral,37353,0,estradiol_comprimidos,estradiol
UMMA MD,comp.rec.x 28,Biotenk,0,1,17/04/2026,30998,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00320,7796363003736,001,00036,10184,00054,undefined,00005,00002,233621000221101,07796363003736,6480551,Anticonceptivo,oral,54493,0,estradiol_comprimidos,estradiol
ISIS,comp.rec.x 28,Siegfried,0,1,23/04/2026,31097,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00903,7795380003583,001,00036,10184,00054,undefined,00005,00002,127671000221107,07798129415227,5238241,Anticonceptivo,oral,36346,0,estradiol_comprimidos,estradiol
DIVINA,comp.rec.x 28,Elea,0,1,16/04/2026,33118,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285051426,001,00036,10184,00054,undefined,00005,00002,170951000221105,07796285051426,5261821,Anticonceptivo,oral,34619,0,estradiol_comprimidos,estradiol
JADE,comp.x 28,Craveri,0,1,17/04/2026,33523,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00056,7792234000255,001,00403,10184,00054,undefined,00005,00002,100371000221105,07792234000255,5802841,Anovulatorio,oral,44499,0,estradiol_comprimidos,estradiol
IFENIL MD 24,comp.rec.x 28 (24+4),Casasco,0,1,27/04/2026,33685,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00045,7791909358851,001,00036,10184,00054,undefined,00005,00002,460011000221101,07791909358851,5787972,Anticonceptivo,oral,60409,0,estradiol_comprimidos,estradiol
KALA MD 24,comp.rec.x 28,Laboratorios Bernabó,0,1,28/04/2026,33780,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00157,7792175008815,001,00036,10184,00054,undefined,00005,00002,146001000221106,07792175008815,5618971,Anticonceptivo,oral,42472,0,estradiol_comprimidos,estradiol
MAXIMA MD,comp.rec.x 28,PharmaDorf,0,1,04/05/2026,34000,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00600,7798103391004,001,00403,10184,00054,undefined,00005,00002,151431000221102,07798103391004,5615261,Anovulatorio,oral,41146,23563,estradiol_comprimidos,estradiol
DAMSELLA,comp.rec.x 24 + plac.x 4,Gador,0,1,29/04/2026,34309,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00103,7792183488739,001,00036,10184,00054,undefined,00005,00002,181751000221106,07792183488739,5574261,Anticonceptivo,oral,39997,25926,estradiol_comprimidos,estradiol
ISIS MINI,comp.rec.x 28,Siegfried,0,1,23/04/2026,34660,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00903,7795380002791,001,00036,10184,00054,undefined,00005,00002,155541000221107,07798129415272,5556971,Anticonceptivo,oral,39056,0,estradiol_comprimidos,estradiol
KALA MD,comp.rec.x 28,Laboratorios Bernabó,0,1,28/04/2026,34847,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00157,7792175008570,001,00036,10184,00054,undefined,00005,00002,192711000221104,07792175008570,5601421,Anticonceptivo,oral,39992,23456,estradiol_comprimidos,estradiol
KIR 28,comp.rec.x 28,Raffo,0,1,17/04/2026,35945,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00192,7798084684942,001,00403,10184,00054,undefined,00005,00002,107731000221107,07798084684942,5664001,Anovulatorio,oral,43789,0,estradiol_comprimidos,estradiol
IFENIL MD,comp.rec.x 28 (21+7),Casasco,0,1,27/04/2026,36058,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00045,7791909358837,001,00036,10184,00054,undefined,00005,00002,429451000221105,07791909358837,5787971,Anticonceptivo,oral,57654,0,estradiol_comprimidos,estradiol
MAXIMA MD 24,comp.rec.x 24 + plac.x 4,PharmaDorf,0,1,04/05/2026,36270,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00600,7798103391011,001,00403,10184,00054,undefined,00005,00002,151451000221106,07798103391011,5615262,Anovulatorio,oral,41147,25311,estradiol_comprimidos,estradiol
KIRUMELLE,comp.rec.x 28 (21+7),Raffo,0,1,17/04/2026,36273,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00192,7798084683167,001,00036,10184,00054,undefined,00005,00002, ,7798084683167,5678132,Anticonceptivo,oral,52505,0,estradiol_comprimidos,estradiol
JADE MD,comp.x 28,Craveri,0,1,17/04/2026,37239,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00056,7792234000262,001,00403,10184,00054,undefined,00005,00002,194301000221109,07792234000262,5802712,Anovulatorio,oral,44500,0,estradiol_comprimidos,estradiol
ISIS MINI 24,comp.rec.x 28,Siegfried,0,1,23/04/2026,37718,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00903,7795380004412,001,00036,10184,00054,undefined,00005,00002,155821000221100,07798129415326,5556974,Anticonceptivo,oral,39617,0,estradiol_comprimidos,estradiol
DIVA,comp.rec.x 28,Elea,0,1,16/04/2026,38587,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285052720,001,00036,10184,00054,undefined,00005,00002,183771000221103,07796285052720,5510711,Anticonceptivo,oral,38154,0,estradiol_comprimidos,estradiol
YASMIN,comp.rec.x 28,Bayer (PH),0,1,05/05/2026,39292,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7795320050912,001,00036,10184,00054,undefined,00005,00002,169751000221105,07795320050912,4928011,Anticonceptivo,oral,31831,0,estradiol_comprimidos,estradiol
JADE MD 24,comp.x 28,Craveri,0,1,17/04/2026,40031,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00056,7792234000316,001,00403,10184,00054,undefined,00005,00002,194321000221102,07792234000316,5802971,Anovulatorio,oral,44501,0,estradiol_comprimidos,estradiol
DIVA TOTAL,comp.rec.x 24 + plac.x 4,Elea,0,1,16/04/2026,40200,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285053017,001,00036,10184,00054,undefined,00005,00002,170971000221103,07796285053017,5510712,Anticonceptivo,oral,39350,0,estradiol_comprimidos,estradiol
YASMINELLE,comp.rec.x 28,Bayer (PH),0,1,07/04/2026,44560,drospirenona+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7795320000504,001,00036,10184,00054,undefined,00005,00002,169731000221101,07795320000504,5499682,Anticonceptivo,oral,50457,0,estradiol_comprimidos,estradiol
ISIS,comp.rec.x 56 env.doble,Siegfried,0,1,23/04/2026,52200,drospirenona+etinilestradiol,,,,mg,56,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00903,7795380003644,002,00036,10184,00054,undefined,00005,00002,126981000221103,07798129415234,5238242,Anticonceptivo,oral,37229,0,estradiol_comprimidos,estradiol
ISIS MINI,comp.rec.x 56 env.doble,Siegfried,0,1,23/04/2026,58959,drospirenona+etinilestradiol,,,,mg,56,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00903,7795380004191,002,00036,10184,00054,undefined,00005,00002,155791000221106,07798129415289,5556972,Anticonceptivo,oral,39057,0,estradiol_comprimidos,estradiol
DIVA,comp.rec.x 56,Elea,0,1,16/04/2026,59457,drospirenona+etinilestradiol,,,,mg,56,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00498,7796285276577,003,00036,10184,00054,undefined,00005,00002,181421000221107,07796285276577,5510714,Anticonceptivo,oral,50845,0,estradiol_comprimidos,estradiol
ISIS MINI 24,comp.rec.x 56 env.doble,Siegfried,0,1,23/04/2026,61904,drospirenona+etinilestradiol,,,,mg,56,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,SIGUIENTE,Sin informacion (Sin descuento),0,00903,7795380004474,002,00036,10184,00054,undefined,00005,00002,155831000221102,07798129415333,5556975,Anticonceptivo,oral,41876,0,estradiol_comprimidos,estradiol
DIVA TOTAL,comp.rec.x 56,Elea,0,1,16/04/2026,63183,drospirenona+etinilestradiol,,,,mg,56,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00498,7796285276584,003,00036,10184,00054,undefined,00005,00002,181761000221108,07796285276584,5510715,Anticonceptivo,oral,50847,0,estradiol_comprimidos,estradiol
ISIS,comp.rec.x 84,Siegfried,0,1,23/04/2026,67473,drospirenona+etinilestradiol,,,,mg,84,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE + DE 2 PRES.),Sin informacion (Sin descuento),0,00903,7795380001367,005,00036,10184,00054,undefined,00005,00002,126991000221100,07798129415241,5238243,Anticonceptivo,oral,48374,0,estradiol_comprimidos,estradiol
ISIS MINI,comp.rec.x 84,Siegfried,0,1,23/04/2026,77315,drospirenona+etinilestradiol,,,,mg,84,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE + DE 2 PRES.),Sin informacion (Sin descuento),0,00903,7795380001381,005,00036,10184,00054,undefined,00005,00002,155801000221107,07798129415296,5556973,Anticonceptivo,oral,48375,0,estradiol_comprimidos,estradiol
DIVINA,comp.rec.x 84,Elea,0,1,16/04/2026,79274,drospirenona+etinilestradiol,,,,mg,84,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,GRANDE (DE 2 PRES.),Sin informacion (Sin descuento),0,00498,7796285273132,003,00036,10184,00054,undefined,00005,00002,178951000221108,07796285273132,5261822,Anticonceptivo,oral,48324,0,estradiol_comprimidos,estradiol
ISIS MINI 24,comp.rec.x 84,Siegfried,0,1,23/04/2026,81605,drospirenona+etinilestradiol,,,,mg,84,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,GRANDE (DE + DE 2 PRES.),Sin informacion (Sin descuento),0,00903,7795380001374,005,00036,10184,00054,undefined,00005,00002,156141000221105,07798129415340,5556976,Anticonceptivo,oral,48376,0,estradiol_comprimidos,estradiol
TRIAL GEL,gel x 80 g,Beta,0,1,21/04/2026,65473,estradiol,,,,mg %,1,unidades de 80 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00032,7795328055926,001,00090,03784,00004,undefined,00122,00014,314271000221101,07795328055926,3969884,Estrogenoterapia,transdermal,51566,65203,estradiol_comprimidos,estradiol
RONTAGEL,env.x 80 g,Ferring,0,1,01/05/2026,106181,estradiol,,,,mg %,1,unidades de 80 g,Cremas/Geles/Pomadas/Ungüentos,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00364,7795309002550,001,00090,03784,00004,undefined,00122,00009,305541000221105,07795309002550,3393262,Estrogenoterapia,uso externo,12634,66276,estradiol_comprimidos,estradiol
RONFASE,2 mg comp.x 28,Pfizer,0,1,28/04/2026,16376,estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00179,7798083950338,001,00090,03784,00054,undefined,00005,00002,174331000221107,07798083950338,3609911,Estrogenoterapia,oral,12032,12452,estradiol_comprimidos,estradiol
PROGYNOVA,2 mg comp.x 28,Bayer (PH),0,1,17/04/2026,24082,estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00214,7795320050905,001,00090,03784,00054,undefined,00005,00002,191031000221100,07795320053579,990531,Estrogenoterapia,oral,30743,14071,estradiol_comprimidos,estradiol
CYCLOFEM INY,5/25 mg a.x 1,Cassará,0,1,20/04/2026,16230,estradiol+medroxiprogesterona,,,,mg,1,unidades,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00046,7795373003750,001,00036,00395,00003,undefined,00005,00003, ,7795373003750,6763681,Anticonceptivo,inyectable IM,64195,0,estradiol_comprimidos,estradiol
MESIGYNA,iny.IM a.x 1 ml,Bayer (PH),0,1,05/05/2026,17061,estradiol+noretisterona,,,,mg/ml,1,unidades de 1 ml,Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00214,7795320034912,001,00036,00490,00003,undefined,00013,00003,291191000221102,07795320034912,3299631,Anticonceptivo,inyectable IM,14785,6953,estradiol_comprimidos,estradiol
MESIGYNA,jga.prell. x 1 ml,Bayer (PH),0,1,05/05/2026,20158,estradiol+noretisterona,,,,mg/ml,1,unidades de 1 ml,Jeringa prellenada,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7501303466607,001,00036,00490,00030,undefined,00013,00003,462621000221102,07501303466607,3299632,Anticonceptivo,inyectable IM,60540,0,estradiol_comprimidos,estradiol
BIOFEM,comp.rec.x 21,Biotenk,0,1,17/04/2026,15823,etinilestradiol+gestodeno,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00320,7796363002609,001,00403,04631,00054,undefined,00005,00002,145871000221101,07796363002609,5429261,Anovulatorio,oral,39292,0,estradiol_comprimidos,estradiol
CUIDAFEM,comp.rec.x 21,Laboratorios Bernabó,0,1,28/04/2026,18669,etinilestradiol+gestodeno,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00157,7792175008235,001,00036,04631,00054,undefined,00005,00002,144201000221106,07792175008235,5432421,Anticonceptivo,oral,37810,11126,estradiol_comprimidos,estradiol
