"articulo"|"division"|"grupo"|"clase"|"subclase"|"articulo_desc"|"division_desc"|"grupo_desc"|"clase_desc"|"subclase_desc"
"A0111101"|"A01"|"A011"|"A0111"|"A01111"|"Facturas y churros"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111102"|"A01"|"A011"|"A0111"|"A01111"|"Galletas, grisines y tostadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111103"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de agua envasadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111104"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de agua sueltas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111105"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas dulces envasadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111106"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas dulces sueltas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111107"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de otro tipo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111108"|"A01"|"A011"|"A0111"|"A01111"|"Masas secas o finas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111109"|"A01"|"A011"|"A0111"|"A01111"|"Pan envasado en rebanadas blanco"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111110"|"A01"|"A011"|"A0111"|"A01111"|"Pan envasado en rebanadas integral"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111111"|"A01"|"A011"|"A0111"|"A01111"|"Pan tipo francés fresco en piezas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111112"|"A01"|"A011"|"A0111"|"A01111"|"Pan integral fresco en piezas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111113"|"A01"|"A011"|"A0111"|"A01111"|"Pan para hamburguesas - pebetes - panchos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111114"|"A01"|"A011"|"A0111"|"A01111"|"Pan rallado"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111115"|"A01"|"A011"|"A0111"|"A01111"|"Pancitos, bollitos, figazzitas saborizados"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111116"|"A01"|"A011"|"A0111"|"A01111"|"Panes y panecillos frescos de otro tipo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111117"|"A01"|"A011"|"A0111"|"A01111"|"Panes y panecillos precocidos y congelados"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111118"|"A01"|"A011"|"A0111"|"A01111"|"Pan blanco de molde por pieza"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111119"|"A01"|"A011"|"A0111"|"A01111"|"Tortas, tartas, pan dulce"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111120"|"A01"|"A011"|"A0111"|"A01111"|"Otros productos de panadería y repostería"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111121"|"A01"|"A011"|"A0111"|"A01111"|"Surtidos de productos de panadería y pastelería"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111201"|"A01"|"A011"|"A0111"|"A01112"|"Arroz blanco"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111202"|"A01"|"A011"|"A0111"|"A01112"|"Arroz integral"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111203"|"A01"|"A011"|"A0111"|"A01112"|"Otros arroces con aditamentos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111204"|"A01"|"A011"|"A0111"|"A01112"|"Fideos de arroz"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111205"|"A01"|"A011"|"A0111"|"A01112"|"Avena"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111206"|"A01"|"A011"|"A0111"|"A01112"|"Cereales en grano"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111207"|"A01"|"A011"|"A0111"|"A01112"|"Cereales inflados"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111208"|"A01"|"A011"|"A0111"|"A01112"|"Féculas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111209"|"A01"|"A011"|"A0111"|"A01112"|"Harina de maíz"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111210"|"A01"|"A011"|"A0111"|"A01112"|"Harina de trigo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111211"|"A01"|"A011"|"A0111"|"A01112"|"Mezcla de harina para pizza, ñoquis, torta frita"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111212"|"A01"|"A011"|"A0111"|"A01112"|"Mezcla de cereales y fibras o frutas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111213"|"A01"|"A011"|"A0111"|"A01112"|"Sémola y semolín"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111214"|"A01"|"A011"|"A0111"|"A01112"|"Harinas integrales"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111215"|"A01"|"A011"|"A0111"|"A01112"|"Semillas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111216"|"A01"|"A011"|"A0111"|"A01112"|"Otras harinas, cereales y fibras"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111217"|"A01"|"A011"|"A0111"|"A01112"|"surtidos de harinas, arroz, cereales y fibras"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111301"|"A01"|"A011"|"A0111"|"A01113"|"Canelones"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111302"|"A01"|"A011"|"A0111"|"A01113"|"Empanadas preparadas sin cocinar"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111303"|"A01"|"A011"|"A0111"|"A01113"|"Fideos frescos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111304"|"A01"|"A011"|"A0111"|"A01113"|"Fideos secos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111305"|"A01"|"A011"|"A0111"|"A01113"|"Ñoquis frescos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111306"|"A01"|"A011"|"A0111"|"A01113"|"Pastas deshidratadas con y sin relleno"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111307"|"A01"|"A011"|"A0111"|"A01113"|"Pizzas preparadas sin cocinar"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111308"|"A01"|"A011"|"A0111"|"A01113"|"Pre-pizza"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111309"|"A01"|"A011"|"A0111"|"A01113"|"Ravioles frescos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111310"|"A01"|"A011"|"A0111"|"A01113"|"Tapas frescas para canelones, panqueques, lasagnas, etc."|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111311"|"A01"|"A011"|"A0111"|"A01113"|"Tapas frescas para empanadas y pastelitos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111312"|"A01"|"A011"|"A0111"|"A01113"|"Tapas frescas para tartas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111313"|"A01"|"A011"|"A0111"|"A01113"|"Tartas preparadas sin cocinar"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111314"|"A01"|"A011"|"A0111"|"A01113"|"Rapiditas, fajitas, etc."|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111315"|"A01"|"A011"|"A0111"|"A01113"|"Otras pastas frescas rellenas,  tortelletis,  fideos rellenos, panzzotis, agnolottis, capellettis, sorrentinos, etc."|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111316"|"A01"|"A011"|"A0111"|"A01113"|"Otros alimentos semipreparados en base a pastas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0111317"|"A01"|"A011"|"A0111"|"A01113"|"Surtidos de pastas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Pastas"
"A0112101"|"A01"|"A011"|"A0112"|"A01121"|"Aguja"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112102"|"A01"|"A011"|"A0112"|"A01121"|"Asado"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112103"|"A01"|"A011"|"A0112"|"A01121"|"Bife ancho"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112104"|"A01"|"A011"|"A0112"|"A01121"|"Bife angosto"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112105"|"A01"|"A011"|"A0112"|"A01121"|"Bife de chorizo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112106"|"A01"|"A011"|"A0112"|"A01121"|"bola de lomo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112107"|"A01"|"A011"|"A0112"|"A01121"|"Carnaza común"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112108"|"A01"|"A011"|"A0112"|"A01121"|"Carne picada"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112109"|"A01"|"A011"|"A0112"|"A01121"|"Cuadrada"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112110"|"A01"|"A011"|"A0112"|"A01121"|"Cuadril"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112111"|"A01"|"A011"|"A0112"|"A01121"|"Falda"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112112"|"A01"|"A011"|"A0112"|"A01121"|"Hueso con carne"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112113"|"A01"|"A011"|"A0112"|"A01121"|"Hueso sin carne"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112114"|"A01"|"A011"|"A0112"|"A01121"|"Lomo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112115"|"A01"|"A011"|"A0112"|"A01121"|"Matambre - cima"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112116"|"A01"|"A011"|"A0112"|"A01121"|"Nalga"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112117"|"A01"|"A011"|"A0112"|"A01121"|"Paleta"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112118"|"A01"|"A011"|"A0112"|"A01121"|"Palomita"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112119"|"A01"|"A011"|"A0112"|"A01121"|"Peceto"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112120"|"A01"|"A011"|"A0112"|"A01121"|"Roast beef"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112121"|"A01"|"A011"|"A0112"|"A01121"|"Vacío"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112122"|"A01"|"A011"|"A0112"|"A01121"|"Otros cortes"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112123"|"A01"|"A011"|"A0112"|"A01121"|"Hígado"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112124"|"A01"|"A011"|"A0112"|"A01121"|"Lengua de vaca"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112125"|"A01"|"A011"|"A0112"|"A01121"|"Mondongo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112126"|"A01"|"A011"|"A0112"|"A01121"|"Riñón"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112127"|"A01"|"A011"|"A0112"|"A01121"|"Otras achuras y menudencias vacunas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112128"|"A01"|"A011"|"A0112"|"A01121"|"Hamburguesas para cocinar (semipreparados)"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112129"|"A01"|"A011"|"A0112"|"A01121"|"Milanesas para cocinar (semipreparados)"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112130"|"A01"|"A011"|"A0112"|"A01121"|"Otros alimentos semipreparados en base a carne para cocinar"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112131"|"A01"|"A011"|"A0112"|"A01121"|"Surtidos de carne fresca vacuna"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne vacuna, fresca, congelada o semipreparadas"
"A0112201"|"A01"|"A011"|"A0112"|"A01122"|"Pollo entero, medio pollo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112202"|"A01"|"A011"|"A0112"|"A01122"|"Pollo trozado"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112203"|"A01"|"A011"|"A0112"|"A01122"|"Otras aves"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112204"|"A01"|"A011"|"A0112"|"A01122"|"Menudencias de ave"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112205"|"A01"|"A011"|"A0112"|"A01122"|"Hamburguesas de pollo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112206"|"A01"|"A011"|"A0112"|"A01122"|"Supremas de pollo rebozadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112207"|"A01"|"A011"|"A0112"|"A01122"|"Preparados de pollo: Formitas, patitas, etc."|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112208"|"A01"|"A011"|"A0112"|"A01122"|"Otros alimentos semipreparados en base a pollo para cocinar"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112209"|"A01"|"A011"|"A0112"|"A01122"|"Surtidos de carne de ave"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne de ave, fresca, congelada o semipreparadas"
"A0112301"|"A01"|"A011"|"A0112"|"A01123"|"Lechón entero o medio"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112302"|"A01"|"A011"|"A0112"|"A01123"|"Costeleta - chuleta de cerdo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112303"|"A01"|"A011"|"A0112"|"A01123"|"Paleta de cerdo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112304"|"A01"|"A011"|"A0112"|"A01123"|"Lomo cerdo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112305"|"A01"|"A011"|"A0112"|"A01123"|"Carré de cerdo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112306"|"A01"|"A011"|"A0112"|"A01123"|"Pechito de cerdo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112307"|"A01"|"A011"|"A0112"|"A01123"|"Otros cortes de carne porcina"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112308"|"A01"|"A011"|"A0112"|"A01123"|"Ovino y caprino, entero o por corte"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112309"|"A01"|"A011"|"A0112"|"A01123"|"Achuras y menudencias, porcinas y ovinas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112310"|"A01"|"A011"|"A0112"|"A01123"|"Otros alimentos semipreparados en base a carne porcina u ovina"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112311"|"A01"|"A011"|"A0112"|"A01123"|"Surtidos de carne porcina u ovina"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Carne porcina u ovina, fresca o congelada"
"A0112401"|"A01"|"A011"|"A0112"|"A01124"|"Otras carnes frescas o congeladas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Otras carnes frescas o congeladas"
"A0112501"|"A01"|"A011"|"A0112"|"A01125"|"Chorizo fresco"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112502"|"A01"|"A011"|"A0112"|"A01125"|"Morcilla"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112503"|"A01"|"A011"|"A0112"|"A01125"|"Salchicha criolla"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112504"|"A01"|"A011"|"A0112"|"A01125"|"Salchicha tipo viena con y sin piel"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112505"|"A01"|"A011"|"A0112"|"A01125"|"Otros embutidos frescos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112506"|"A01"|"A011"|"A0112"|"A01125"|"Surtidos de embutidos frescos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112507"|"A01"|"A011"|"A0112"|"A01125"|"Bondiola"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112508"|"A01"|"A011"|"A0112"|"A01125"|"Jamón cocido"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112509"|"A01"|"A011"|"A0112"|"A01125"|"Jamón crudo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112510"|"A01"|"A011"|"A0112"|"A01125"|"Lomito"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112511"|"A01"|"A011"|"A0112"|"A01125"|"Matambre (fiambre)"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112512"|"A01"|"A011"|"A0112"|"A01125"|"Mortadela"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112513"|"A01"|"A011"|"A0112"|"A01125"|"Paleta (fiambre)"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112514"|"A01"|"A011"|"A0112"|"A01125"|"Panceta fresca, salada, ahumada"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
"A0112515"|"A01"|"A011"|"A0112"|"A01125"|"Salame"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Carne"|"Embutidos frescos, fiambres y procesados en base a carne"
