link,user,text,fecha,archivo_imagen
https://instagram.com/p/CAVlmuWnvON/,naturiflora,"- 10 días para el #MHD2020 -

Podríamos abrir el debate... ¡ABRAMOS EL DEBATE!: Con la diversidad de cuerpas, cuerpos, cuerpes... creo que el mejor producto para la gestión menstrual es el que más te acomode... Ojalá pudieramos probarlos todos y quedarnos con el que más nos guste y mezclaros! 🐚
Para elegir el más cómodo, sería ideal -como puse arriba- poder probarlos, tener acceso a usar calzones mestruales, toallas (compresas) reutilizables, copas, toda la diversidad de marcas y modelos, como ocurre en el comercio tradicional de toallas, tampones y protectores. Como no es posible probar todo, recurrimos a los consejos y todas podremos entregar nuestra opinión en base a nuestra experiencia, a la vez, considerando lo que para nosotras y nosotros es importane. Entonces, la pregunta la modificamos y la enfocamos en: ¿el mejor producto para qué? ¿en general? No tenemos una tabla con parámetros básicos como para evaluar los productos dentro del mercado (la deberíamos hacer todo el rato). 🐚
""no tienes que dar explicaciones de por qué no te has pasado a la copa, o a las tollas de tela, o al nuevo tampón con aplicador reutilizable creado con elementos nobles y orgánicos, o a la filántropa copita wifi que por cada uso salva un niño en Yemen (ironía para les graves)"". 🐚
Pueden leer más en el blog La Vagina Feliz (happy as a fuck!), link en el perfil.
#nomástabú #menstruacción #menstrualcup #copitamialuna #copitachile #copamenstrualchile #copitamenstrual #copamialuna #naturiflora es #copamenstrualparatodes #menstruaciónconsciente #mialuna
#copamenstrual #menstruación
#periods #periodpositive #notaluxuryitem",MAY 18,../data/img/59.jpg
https://instagram.com/p/B4N0tKXFEvN/,arquitecturaparaelalma,"Hace más de una año tomé una de las mejores decisiones que he tomado en mi vida, me cambié a la copa menstrual. Este pequeño dispositivo es hecho de silicon flexible quirúrgico y su uso es exclusivo para recolectar el sangrado menstrual.
Es sumamente sencillo de utilizar, desde que la uso he notado maravillosos cambios de los cuales me animé a mencionar sus beneficios en mi caso personal.
.
VENTAJAS DE LA COPA MENSTRUAL
.
🌱Es ecológica y cuida el medio ambiente ya que no creas desechos como con las toallas sanitarias.
🌱Ahorras dinero, es económica para mi es una inversión ya que puede durar hasta 10 años y no he vuelto a comprar toallas o sea que mi bolsillo la ama, la compras en 40 o 50 dólares dependiendo la marca, las hay en diferentes marcas, tamaños, diseños y colores.
🌱No más derrames, puedo durar hasta 12 horas con ella puesta ya que no molesta, no se siente incluso hasta olvido que estoy menstruando, cuando se llena simplemente la retiro, la vacío y vuelvo a colocámela.
🌱Cuida tu cuerpo, desde que la uso he notado menos infecciones, eso se debe porque las toallas tradicionales mantienen la humedad y el sudor y los materiales con los que hacen las toallas podría generar irritaciones ahh y la sangre no tienen mal olor, el mal olor que creemos tener durante el periodo se debe a lo mencionado de las toallas.
🌱Es muy práctica y fácil de higienizar, solo la hierves en agua por unos minutos antes y después de cada período, ojo sin dejar de verla (la puedes quemar si te pasas del tiempo).
🌱Te conecta con tu ciclo, ves tu sangre, la tocas, la puedes oler y ver que tanta sangre tienes en los períodos, de verdad olvidas que la traes puesta, puedes dormir con ella, ir a piscinas, playa, ríos. En fin puedes hacer todas tus actividades sin temor.
.
Verdaderamente la recomiendo 100%.
.
Si aun tienes dudas de como se coloca aquí te dejo el siguiente link para que puedas verlo de una manera sencilla, didáctica y práctica. https://youtu.be/LmYSbFOA-eo
.
.
.
#Copamenstrual #Menstruaccion #Misangreessalud #Micuerpo #Feminidad #Soymujer #Sangromensualmente #Amomicopamenstrual #Divacup #Ciclomenstrual #Conectacontuser #Fuerza #Mujer #copitamenstrual #Periodo #Amor","OCTOBER 29, 2019",../data/img/892.jpg
https://instagram.com/p/B3uCNtEiuCB/,workoutandfitt,"¿A cuántas mujeres no les pasa que cuando van a tener la regla se sienten sin fuerzas en su entrenamiento?
.
Sentir como si levantar el mismo peso o realizar el mismo ejercicio, te costara el doble, o incluso, sentir que no pueden.
.
Pues en esos días, es cuando más fuerza tienes que sacar, intentar poner la mente positiva (ya que lo es todo), e ir a entrenar con más ganas que nunca.
Por qué nada es imposible y no hay que ponerse límites. .
Si no.. respirar, levantarte, y comerte el mundo.
.
Si hoy es uno de esos días...
Respira más fuerte, levantate con la mente de una guerrera, y dale duro, sin contemplaciones.
.
Tú mandas sobre ti misma, solo tienes que cambiar el pensamiento, por que...
¡SÍ PUEDES!
#diasmalos #cambiatumente #changeyourmind #nolimit #nohaylimites #menstruaccion
#noexcuses #guerreras #positivevibes #positivismo #cometeelmundo #mente #ejercicio #entrenamiento #girlsgonestrong #girlstraining #motivation #fitnesstime #fit #estilodevida #streetworkout #strongwomen #healthylive #lifestyle #strongfit #comeon #cuerpomente #fitfam #nopainnogain #fitnessaddict","OCTOBER 17, 2019",../data/img/907.jpg
https://instagram.com/p/B1i9mxNFjHh/,flordelunafeminidadconsciente,"#Repost @economiafeminita (@get_repost)
・・・
En Argentina el desecho de toallitas y tampones genera 132mil toneladas al año de basura no reciclable. El 60% de la composición de estos productos es pasta fluff, obtenida a partir del monocultivo de una especie de pino para lo que se desmonta selva nativa. Por eso desde @economiafeminita impulsamos el uso de la copa menstrual y toallitas de tela para quienes tienen esa posibilidad y nos sumamos a #actforamazonia. #menstruaccion","AUGUST 24, 2019",../data/img/988.jpg
https://instagram.com/p/Byi57N8AoTU/,mujeresensororidad,"El Miercoles 12 de junio en la Feria del Libro!

Vamos a estar en la Feria del Libro, con Mujeres en Sororidad en la Proyección del cortometraje ganador de un Premio Oscar. .
Junto a las creadoras de @killari54 , toallitas y opciones ecológicas y la Red de Iniciadoras Maggacup! .
Acércate con tu mamá y tu abuela, para compartir la peli ganadora y unos mates, diciéndole chau #tabu al ciclo menstrual!
.
Vamos a sortear muchas cositas lindas que te van a hacer el ciclo más fácil! <3
.
Miércoles 12/06 a las 17hs. SALA RAUL GALAN - La Feria del Libro Jujuy
.
#menstruaccion #chautabu #periodopositivo #maggacup #sororidad #feminismo #fuerzafemenia #circulodemujeres #yoga #menarca","JUNE 11, 2019",../data/img/1051.jpg
https://instagram.com/p/BRKMlz6FH4n/,bar.biturica,"La banda loca hace regalos posta posta
Les amo 🎈💞🐱
#elplandeluchaempiezaenlacachucha
#menstruaccion","MARCH 3, 2017",../data/img/1392.jpg
https://instagram.com/p/BRJA6v7lDtB/,economiafeminita,"Querés saber cuánto cuesta menstruar? En nuestra página encontras todos los costos, comparación con otros países y campaña por una menstruacion libre de impuestos. Entra a www.economiafeminita.com Ilustración de Belligera. #8m #MenstruAccion #especial #indicetampon","MARCH 2, 2017",../data/img/1393.jpg
