link,user,text,fecha,archivo_imagen
https://instagram.com/p/Bx-GviGl9Fj/,cuidemoslaadolescencia,"Buenas! Qué tal arrancaron la semana?
.
No quiero dejar de comentarles que mañana es el DÍA DE LA HIGIENE MENSTRUAL, una iniciativa de una ONG, Wash United, que busca romper con los tabúes y hablar sobre la menstruación.
.

Que exista este día sirve para generar conciencia sobre el tema. Algunos de los puntos importantes que se discuten:
.
. -El estigma que existe alrededor de la menstruación
. -Los problemas que genera en las sociedades, la falta de educación al respecto
. -La menstruación como un factor de desigualdad, dado que las mujeres deben invertir parte se sus salarios en la compra de productos para la higiene, cuando sus salarios son menores que el de los hombres.
. -Los altos costos de los productos de higiene y la falta de políticas pública que lo contemplan
. -El desconocimiento de que hay muchos métodos de higiene, que pueden ser utilizados, más allá de las toallitas femeninas o los tampones.
. -La ecología, porque una toallita higiénica tarda 500 años en degradarse y un tampón muchos más, pensando en que las mujeres menstruamos durante aproximadamente 40 años de nuestra vida!
.
.

Existen algunos Proyectos de Ley que buscan lograr la exención de impuestos o la provisión gratis de los productos de higiene
Yo soy muy fan de @economiafeminita y su #MenstruAcción. Para más información pueden seguirlas!
.
Recomiendo nuevamente (dado que el público se renueva) ""Period, end of sentence"" documental ganador de un Oscar y que dura 25 minutos. Está en Netflix. Mujeres de un pueblo rural en las afueras de Nueva Delhi, India, que luchan contra el estigma de la menstruación cuando aprenden a fabricar toallas femeninas!
.
Aguanten las menstruacciones!!! 💪💪💪❤
#menstruación #toallasfemeninas #tampocnes #copita #toallashigiénicas #menstruacciones #diadelahigienemenstrual
#desigualdad","MAY 27, 2019",../data/img/0.jpg
https://instagram.com/p/BuT2kMqjIu7/,mileschile,"""Period. End of sentence"", de Rayka Zehtabchi, ganó el #Oscar2019 al Mejor Corto Documental al mostrar un grupo de mujeres indias que lideran una revolución sexual silenciosa: democratizar el uso de toallas femeninas y desestigmatizar la menstruación. Eliminemos estos tabúes ✊! Felicitaciones!! 👏👏👏#MenstruAcción #noestigmaticemoslamenstruación","FEBRUARY 25, 2019",../data/img/1.jpg
https://instagram.com/p/B9aBhKqJ8bm/,economiafeminita,"✊🍷Celebramos la decisión del Consejo de Deliberante de Morón, el cual aprobó un proyecto de ley que busca garantizar a todas las mujeres de bajos recursos con domicilio en el distrito el acceso a productos de gestión menstrual. La iniciativa fue impulsada por Sandra Yametti, quien declaró: ""El costo menstrual es un gran factor de desigualdad"". ⠀
⠀
💜📢Sin dudas, se trata una conquista del movimiento feminista, como también de la lucha desde Economía Feminita, ya que en 2017 lanzamos la campaña de #Menstruacción para la exención del IVA de los productos de gestión menstrual y la provisión gratuita en escuelas, cárceles y centros comunitarios. ⠀
⠀
🔥💪Es momento de que ocurra en toda la Argentina, donde el impacto de la dificultad de acceso a la gestión menstrual es invisibilizado sistemáticamente mediante la construcción de un tabú y estigma. ¡Sumate!",MARCH 6,../data/img/2.jpg
https://instagram.com/p/B9FOlS7JK5A/,economiafeminita,"💜🍷Escocia se convirtió en el primer país en el mundo en distribuir productos de gestión menstrual de manera gratuita. Así lo afirmó el Parlamento escocés, quien determinó que se estarán disponibles en colegios y universidades como también centros de salud, farmacias y otros lugares públicos. ⠀
⠀
✊Un estudio de la organización Young Scot señaló que una de cada cuatro estudiantes de tenía problemas económicos para acceder a los productos. Mientras tanto, según anunció el Plan International, el 12% de las entrevistadas se veían obligadas a improvisar métodos de higiene. ⠀
⠀
📢Monica Lennon fue una de las encargadas de impulsar la iniciativa, la cual contó con 112 votos a favor y ninguno en contra: ""El acceso a los productos debería ser un derecho y estar disponible para todas"", declaró la política. ⠀
⠀
🔥En Argentina, el impacto de la dificultad de acceso a la gestión menstrual es invisibilizado sistemáticamente mediante la construcción de un tabú y estigma. Para combatir esta situación, desde Ecofeminita lanzamos la campaña de #Menstruacción para la exención del IVA de los productos de gestión menstrual y la provisión gratuita en escuelas, cárceles y centros comunitarios. ¡Link en stories para ver cómo sumarte!",FEBRUARY 27,../data/img/3.jpg
https://instagram.com/p/B9ZY2aOJbv0/,economiafeminita,"🍷A través de una sesión extraordinaria, el Concejo Deliberante de Morón tratará este mediodía un proyecto de ley que busca garantizar a todas las mujeres de bajos recursos con domicilio en el distrito el acceso a productos de gestión menstrual. ⠀
⠀
✊La medida incluye en la nómina de productos a toallas higiénicas descartables o reutilizables, tampones, copas menstruales, esponjas marinas, ropa interior absorbente y “todo otro accesorio para la higiene relativa al ciclo menstrual que en el futuro se desarrolle”. ⠀
⠀
💪La concejal Sandra Yametti fue la encargada de presentar el proyecto, quien resaltó que los productos de gestión menstrual tuvieron un aumento en su valor de entre el 30 y el 40 por ciento, con lo cual se hace cada vez más cuesta arriba adquirirlos. ⠀
🔴“El acceso tanto a productos de gestión menstrual, como a la información relativa a ellos, es una necesidad básica para todos los cuerpos menstruantes, y en el mismo sentido es fuente de desigualdad"", indicó. ⠀
⠀
👀📢Desde Ecofeminita lanzamos la campaña de #Menstruacción para la exención del IVA de los productos de gestión menstrual y la provisión gratuita en escuelas, cárceles y centros comunitarios. ¡Link en stories para sumarte!",MARCH 6,../data/img/4.jpg
https://instagram.com/p/B7okZq8ptig/,economiafeminita,"💜🍷Los productos de gestión menstrual comenzaron a ser distribuidos de forma gratuita en diferentes escuelas de Inglaterra. Así lo decidió el Departamento de Educación, quien explicó que la medida se extiende para las toallitas, tampones y copas menstruales. ⠀
⠀
👉La iniciativa busca resaltar la campaña ""period poverty"", que expone la imposibilidad que enfrentan muchas mujeres para pagar estos productos. Justamente, en Reino Unido 1 de cada 10 niñas no puede darse el lujo de comprar productos menstruales; a su vez, según aseguró Rosamund McNeil, subsecretaria general de la Unión Nacional de Educación, más de 137.000 niñas faltaron a la escuela por su menstruación en Inglaterra. ⠀
⠀
📢""Sabemos que no es fácil para todas acceder a productos de higiene menstrual donde y cuando los necesitan. Este plan abordará esos problemas para que las jóvenes puedan llevar a cabo su vida diaria"", explicó la ministra de Niños y Familias británica, Michelle Donelan. ⠀
⠀
⚠️En Argentina, 7 de cada 10 personas pobres son mujeres en Argentina; el impacto de la dificultad de acceso a la gestión menstrual es invisibilizado sistemáticamente mediante la construcción de un tabú y un estigma respecto a la menstruación que la sitúa en un lugar vergonzoso. ⠀
⠀
✊Para combatir esta situación, desde Ecofeminita en 2017 lanzamos la campaña de #Menstruacción para la exención del IVA de los productos de gestión menstrual y la provisión gratuita en escuelas, cárceles y centros comunitarios. ¡Link en stories para ver cómo sumarte!",JANUARY 22,../data/img/5.jpg
https://instagram.com/p/B9ftiM2DZ34/,eva_pediatra,"Buenos Aires, 8 de Marzo 2020

Señor Industria del “Cuidado Femenino”: Me dirijo a usted, como mujer menstrual que le ha brindado un porcentaje de su sueldo (y antes del de mi madre) durante muchísimos años, a fin de agradecer repiense el nombre de sus productos e incluso de su industria. Sonará susceptible de mi parte (igual usted fácilmente dirá que “estoy en esos días” y me podrá justificar), pero me tiene reflexionando hace rato, esto de que llame a sus artículos de “higiene femenina”, porque, sabrá usted, implica por oposición que me considera sucia. Lo mismo con el sustantivo cuidado, siempre listo para advertir situación de vulnerabilidad. Debo decir que, en un punto, es cierto que las mujeres debemos ser cuidadas (usted como parte constitutiva de esta sociedad patriarcal lo sabe bien), porque entre otras cosas, somos abusadas sexual, simbólica, económica, laboralmente y hasta asesinadas. A propósito de este tema, la estadística de marzo, mes de la mujer, da espantosa y nos cuenta que una de nosotras muere en manos de su pareja o su ex pareja cada 12 horas. Atiendo por su puesto, que a los ocho días que lleva este mes, mi número es sesgado. Pero sepa usted, industria del fem care, que en los mejores meses, nos matan cada 36 horas.
Volviendo a lo nuestro, a lo que más directamente lo ataña a usted, le pido revise sus discursos eufemísticos (últimamente llamativamente empoderadores y hasta advertidos sobre que la sangre ya no puede ser sustituida por un líquido azul tipo Poet aroma de mar), y si nos quiere cuidar, apoye nuestros proyectos para la repartición gratuita de sus productos, quita del IVA, y explicite los elementos con los que están fabricados, a fin de bajarme la paranoia por desconocer con qué intimé durante tanto tiempo.
Disculpe por la particular sensibilidad con la que escribo estas palabras, pero hoy estoy todo, menos serena.
Saludo a usted muy atentamente, dispuesta siempre (libre) a continuar con el intercambio epistolar y con mucho más para decir. Yo
.
#8m #diainternacionaldelamujer #niunamenos #menstruacion #menstruacción #copamenstrual #feminismo",MARCH 9,../data/img/6.jpg
https://instagram.com/p/B9SSmypgydB/,labarbiecientifica,"Empiezan las clases y me acuerdo de este día, cuando con mis compañeras de @economiafeminita presentamos el material educativo de #MenstruAcción 🍷✊🏼💚 Es un cuadernillo para docentes dónde van a encontrar contenido y actividades para trabajar el tema en el marco de la ESI ✊🏼💚🍷 Es de descarga gratuita y está disponible en nuestra web (también dejo link en stories)",MARCH 3,../data/img/7.jpg
https://instagram.com/p/B_Tpfc6l_4l/,sabrinallorente,"No es más que sangre y es mucho más que sangre .
.
.
#menstruacción #illustration #illustrator #vector #reuse",APRIL 23,../data/img/8.jpg
https://instagram.com/p/CBL2sz5J8nm/,economiafeminita,"🔥👉🏻¡HOY! nuestra Ecofeminita, @candelaria.botto, participará de ""Emancipa live"", el ciclo organizado por @emancipaweb. ⠀
⠀
🍷💜La charla estará centrada en la importancia de quitar el IVA a los productos de gestión menstrual, la campaña #Menstruacción y el cierre de la colecta realizada junto con @lagargantapoderosa. ⠀
⠀
🤳¿Cuándo? Hoy a las 20:30 hs. ¿Dónde? Por el IG de Economía Feminita. ¡Sumate!",JUNE 8,../data/img/9.jpg
https://instagram.com/p/CBLx8RrJ8X1/,felunamenstrual,"💖¡Si, toallitas menstruales de tela!
Alta protección, cero irritaciones, cero infecciones
👉 Súper cómodas y ecológicas
💖 Tres toallitas x 20 usd (incluye envío en UIO)
¡Escríbenos! ♥
#menstruacionconsciente #menstruacion #toallitasmenstrualesdetela #toallitasdetela #toallitasmenstrualesecologicas #Quito #menstruacionconsciente❤ #menstruacción #menstruarsaludable #copitamenstrualecuador #copamenstrualecuador #copitamenstrualquito #copamenstrualecuador #saludmenstrualecuador #saludmenstrual #menstruacionsostenible #zeroWasteQuito #ecofriendly",JUNE 8,../data/img/10.jpg
https://instagram.com/p/CBJlRQwA98W/,colectivosoberano,"•
| #Repost @economiafeminita |
• • • • • •
💜🍷El Estado de Nueva Zelanda distribuirá productos de gestión menstrual en las escuelas de forma gratuita, con el fin de luchar contra la pobreza menstrual. ⠀
⠀
🔥Así lo confirmó la primera ministra, ⁣Jacinta Ardern, quién indicó que la medida entrará en vigencia a partir del tercer trimestre de este año y se extenderá a nivel nacional durante 2021. ⠀
⠀
📢⁣“La menstruación es una realidad para la mitad de la población y el acceso a estos productos es una necesidad, no un lujo”, expresó Julie Anne Genter, la ministra de la Mujer. ⁣
⠀
🔥Desde 2017 en Economía Femini(s)ta llevamos a cabo #MenstruAcción, una campaña que busca la quita del IVA a los productos de gestión menstrual y su provisión gratuita en espacios comunitarios. ¡Sumate para que pase en todo el país!",JUNE 7,../data/img/11.jpg
